DATA_STRD_YM|SUBWAY_SCN_INNB|SUBWAY_SCN_NM|SUBWAY_ROUTE_NM|SUBWAY_SCN_CNTPNT_LA|SUBWAY_SCN_CNTPNT_LO|TOTL_FPOP|MALE_FPOP|FEMALE_FPOP
202504|MTRDXD14311|판교(판교테크노밸리)|신분당|37.3947775273414|127.111197829559|20692330.0|10965296.0|9727034.0
202504|MTRDXD14312|정자|신분당|37.3673267196137|127.10851906256602|13442970.0|6834137.0|6608833.0
202504|MTRDXD14318|광교중앙(아주대)|신분당|37.2883843017536|127.051726324729|14770310.0|7567792.0|7202518.0
202504|MTRDXD1D04|신사|신분당|37.5160820085929|127.01955173492699|29907153.0|14780805.0|15126348.0
202504|MTRDXD1D13|미금(분당서울대병원)|신분당|37.3500717899776|127.10879895547602|12592346.0|5891289.0|6701057.0
202504|MTREVE1Y110|기흥(백남준아트센터)|에버라인|37.2754528769977|127.117046457051|10138652.0|4917507.0|5221145.0
202504|MTREVE1Y111|강남대|에버라인|37.2701707271599|127.12606689206|4423504.0|2058976.0|2364528.0
202504|MTREVE1Y117|시청·용인대|에버라인|37.2394420300344|127.17888509175002|11912072.0|5765370.0|6146702.0
202504|MTREVE1Y118|명지대|에버라인|37.2380762880162|127.190291308571|10978389.0|5414350.0|5564039.0
202504|MTRGJ1102|학동증심사입구|1호선|35.1325872330888|126.92845851133698|6919155.0|3312515.0|3606640.0
202504|MTRGJ1110|화정|1호선|35.1519654749892|126.87662301130202|9223722.0|4375405.0|4848317.0
202504|MTRGJ1112|운천|1호선|35.150482087694|126.85869740298|10376213.0|5057593.0|5318620.0
202504|MTRGJ1115|공항|1호선|35.1440760924291|126.811631835188|5442353.0|3101876.0|2340477.0
202504|MTRGJ1116|송정공원|1호선|35.1435498417323|126.799366870218|2415035.0|1219645.0|1195390.0
202504|MTRGJ1117|광주송정역|1호선|35.1379970845584|126.791770452385|3872440.0|2249236.0|1623204.0
202504|MTRGMG1G102|마산|김포골드라인|37.6406117204577|126.644004368759|7067613.0|3487383.0|3580230.0
202504|MTRGMG1G106|사우(김포시청)|김포골드라인|37.620321335136204|126.71976741873|15107196.0|7308350.0|7798846.0
202504|MTRGMG1G109|김포공항|김포골드라인|37.5623299036952|126.80199188908901|41624993.0|21853041.0|19771952.0
202504|MTRIC7752|부천종합운동장|7호선|37.5054255130821|126.797233841984|11487447.0|5972199.0|5515248.0
202504|MTRIC7754|신중동|7호선|37.50295254026221|126.776897204578|11892001.0|5777748.0|6114253.0
202504|MTRIC7755|부천시청|7호선|37.504657430273305|126.76401271225|34079816.0|15599792.0|18480024.0
202504|MTRIC7759|부평구청|7호선|37.5074335004489|126.72143971800001|7546442.0|3930889.0|3615553.0
202504|MTRICI1110|계양|인천1호선|37.5715178041531|126.736334563819|3336596.0|1888932.0|1447664.0
202504|MTRICI1118|부평구청|인천1호선|37.50846582766669|126.720583092527|37331366.0|18813876.0|18517490.0
202504|MTRICI1119|부평시장|인천1호선|37.4983641942962|126.72228537394902|41757997.0|19852437.0|21905560.0
