시군구,번지,단지명,주소,위도,경도,수집여부
경기도 고양시 일산동구 마두동,787,강촌마을(진흥),경기도 고양시 일산동구 마두동 787 강촌마을(진흥),37.6521945096989,126.783495886466,Y
경기도 수원시 권선구 탑동,849-11,우리,경기도 수원시 권선구 탑동 849-11 우리,37.2709480030351,126.975769954377,Y
경기도 부천시 오정구 고강동,393-4,신세계하이츠,경기도 부천시 오정구 고강동 393-4 신세계하이츠,37.5286434449008,126.822959380752,Y
경기도 시흥시 신천동,705-3,그랜드103동,경기도 시흥시 신천동 705-3 그랜드103동,37.4430402464933,126.783581171947,Y
경기도 오산시 갈곶동,218,태양,경기도 오산시 갈곶동 218 태양,37.1298555080201,127.068371422001,Y
경기도 안성시 공도읍 마정리,561,안성베르빌,경기도 안성시 공도읍 마정리 561 안성베르빌,37.0127007041287,127.206975143761,Y
경기도 용인시 기흥구 고매동,377-13,두진노블하우스,경기도 용인시 기흥구 고매동 377-13 두진노블하우스,37.2266596040852,127.111588275788,Y
경기도 안양시 동안구 비산동,1043-11,삼호12차,경기도 안양시 동안구 비산동 1043-11 삼호12차,37.4066799718855,126.950977673969,Y
경기도 안양시 만안구 안양동,1056-8,늘푸른101동,경기도 안양시 만안구 안양동 1056-8 늘푸른101동,37.3852786105681,126.905396261392,Y
경기도 고양시 덕양구 성사동,494-5,삼화그린아파트(B동),경기도 고양시 덕양구 성사동 494-5 삼화그린아파트(B동),37.6579571226602,126.840099719469,Y
경기도 화성시 매송면 천천리,92,삼미B단지,경기도 화성시 매송면 천천리 92 삼미B단지,37.242757446896,126.953287184033,Y
경기도 성남시 중원구 성남동,4117-1,가나3차(101동),경기도 성남시 중원구 성남동 4117-1 가나3차(101동),37.4306093656037,127.131210189697,Y
경기도 용인시 처인구 김량장동,199-1,수정빌라,경기도 용인시 처인구 김량장동 199-1 수정빌라,37.2394925547015,127.202512576681,Y
경기도 군포시 금정동,754,영화5차,경기도 군포시 금정동 754 영화5차,37.3600322260148,126.944971926977,Y
경기도 안성시 공도읍 만정리,708,공도정보,경기도 안성시 공도읍 만정리 708 공도정보,36.9998830880828,127.173850343408,Y
경기도 부천시 오정구 원종동,276-6,르네상스타워,경기도 부천시 오정구 원종동 276-6 르네상스타워,37.5245872835152,126.805850653663,Y
경기도 여주시 상동,177-4,인텔존,경기도 여주시 상동 177-4 인텔존,37.2966906041232,127.642661088261,Y
경기도 안양시 만안구 안양동,151-4,국일,경기도 안양시 만안구 안양동 151-4 국일,,,N
경기도 평택시 팽성읍 객사리,67-3,수청,경기도 평택시 팽성읍 객사리 67-3 수청,36.9665675021939,127.066290937829,Y
경기도 이천시 대월면 사동리,312-5,삼진(2동),경기도 이천시 대월면 사동리 312-5 삼진(2동),37.2424868687908,127.491347160812,Y
경기도 이천시 부발읍 무촌리,221-2,남서울,경기도 이천시 부발읍 무촌리 221-2 남서울,37.2850953245858,127.487962877195,Y
경기도 안양시 만안구 안양동,132-2,일승(가동),경기도 안양시 만안구 안양동 132-2 일승(가동),,,N
경기도 부천시 오정구 작동,69-9,해주3차,경기도 부천시 오정구 작동 69-9 해주3차,37.5165870306222,126.805692887223,Y
경기도 용인시 처인구 포곡읍 삼계리,115-3,현대그린(101동),경기도 용인시 처인구 포곡읍 삼계리 115-3 현대그린(101동),37.2969948702584,127.234792583821,Y
경기도 수원시 권선구 탑동,759-22,혜성,경기도 수원시 권선구 탑동 759-22 혜성,37.2751133594578,126.97545460417,Y
경기도 안양시 동안구 비산동,413-1,현진1,경기도 안양시 동안구 비산동 413-1 현진1,,,N
경기도 용인시 수지구 죽전동,79,현대홈타운 206동,경기도 용인시 수지구 죽전동 79 현대홈타운 206동,37.3305726405406,127.129760417074,Y
경기도 부천시 원미구 역곡동,20-2,현진리더빌,경기도 부천시 원미구 역곡동 20-2 현진리더빌,37.4836091456168,126.800538450634,Y
경기도 군포시 대야미동,642-7,천봉프라자,경기도 군포시 대야미동 642-7 천봉프라자,37.3303256528501,126.916774073614,Y
경기도 구리시 인창동,632-1,한창그린(102동),경기도 구리시 인창동 632-1 한창그린(102동),37.60682159393,127.129672765862,Y
경기도 가평군 청평면 청평리,79-57,청일,경기도 가평군 청평면 청평리 79-57 청일,37.7343303414143,127.417827184463,Y
경기도 용인시 수지구 죽전동,53,지오빌리지,경기도 용인시 수지구 죽전동 53 지오빌리지,37.3335268450728,127.130585164475,Y
경기도 평택시 평택동,88-19,성신,경기도 평택시 평택동 88-19 성신,36.9913376887995,127.081783921681,Y
경기도 여주시 점봉동,114,인창,경기도 여주시 점봉동 114 인창,37.2560256326838,127.64949698415,Y
경기도 파주시 법원읍 가야리,29-2,율곡,경기도 파주시 법원읍 가야리 29-2 율곡,37.8524087655566,126.870438235863,Y
경기도 부천시 오정구 원종동,384-3,무궁화,경기도 부천시 오정구 원종동 384-3 무궁화,37.5207256571419,126.802898141338,Y
경기도 가평군 청평면 청평리,76-20,청일덱스빌(2동),경기도 가평군 청평면 청평리 76-20 청일덱스빌(2동),37.7328476496105,127.415321538965,Y
경기도 가평군 청평면 청평리,626-12,청일덱스빌3동,경기도 가평군 청평면 청평리 626-12 청일덱스빌3동,37.7320597934758,127.414696730258,Y
경기도 용인시 처인구 포곡읍 삼계리,368-2,대명(4동),경기도 용인시 처인구 포곡읍 삼계리 368-2 대명(4동),37.2861830592215,127.236923242683,Y
경기도 의왕시 삼동,192-50,신광월드4차,경기도 의왕시 삼동 192-50 신광월드4차,37.3200321609585,126.950937321529,Y
경기도 부천시 원미구 상동,570-5,하얀마을(경남),경기도 부천시 원미구 상동 570-5 하얀마을(경남),37.4981894856935,126.75485495678,Y
경기도 안양시 동안구 호계동,972-7,우양파크빌,경기도 안양시 동안구 호계동 972-7 우양파크빌,37.3668757816928,126.956883319429,Y
경기도 군포시 산본동,1030-1,세경싸이버빌(102),경기도 군포시 산본동 1030-1 세경싸이버빌(102),37.3683310254056,126.940829402583,Y
경기도 수원시 권선구 탑동,854-7,보림B동,경기도 수원시 권선구 탑동 854-7 보림B동,37.2699539400719,126.978384708556,Y
경기도 용인시 기흥구 언남동,123,효성빌라(104동),경기도 용인시 기흥구 언남동 123 효성빌라(104동),37.2976914271019,127.130301226497,Y
경기도 하남시 덕풍동,420-15,다일네오빌,경기도 하남시 덕풍동 420-15 다일네오빌,37.5372530167231,127.20371436335,Y
경기도 군포시 당동,911-6,한세(911-6),경기도 군포시 당동 911-6 한세(911-6),37.3470455049493,126.947712048839,Y
경기도 안양시 동안구 비산동,329-1,파크아파트(B동),경기도 안양시 동안구 비산동 329-1 파크아파트(B동),37.4042664227722,126.941863183515,Y
경기도 포천시 신읍동,43-18,포천예원프라자,경기도 포천시 신읍동 43-18 포천예원프라자,37.8973538491338,127.202595787435,Y
경기도 구리시 인창동,633-2,이건필그린(633-2),경기도 구리시 인창동 633-2 이건필그린(633-2),37.6066367179382,127.130157498076,Y
경기도 군포시 당동,946-5,베이101동,경기도 군포시 당동 946-5 베이101동,37.3536257060892,126.940442178405,Y
경기도 수원시 팔달구 인계동,975-15,다림(975-15),경기도 수원시 팔달구 인계동 975-15 다림(975-15),37.2687956599859,127.023463493276,Y
경기도 구리시 인창동,302-3,성림,경기도 구리시 인창동 302-3 성림,,,N
경기도 남양주시 금곡동,167-22,신대림(1동),경기도 남양주시 금곡동 167-22 신대림(1동),37.6364683719053,127.214250563634,Y
경기도 고양시 덕양구 행신동,650-132,청송,경기도 고양시 덕양구 행신동 650-132 청송,37.6208576118943,126.830630241727,Y
경기도 양주시 덕계동,424-1,양주2차금광포란재,경기도 양주시 덕계동 424-1 양주2차금광포란재,37.8189499056645,127.048595333485,Y
경기도 안산시 상록구 수암동,493-3,대보나동,경기도 안산시 상록구 수암동 493-3 대보나동,37.3625444097599,126.878748530384,Y
경기도 부천시 원미구 상동,402-3,윌타운,경기도 부천시 원미구 상동 402-3 윌타운,37.4912673389822,126.753729858244,Y
경기도 양평군 양동면 쌍학리,185-12,양동하이츠빌라,경기도 양평군 양동면 쌍학리 185-12 양동하이츠빌라,37.4167255076267,127.7562941876,Y
경기도 용인시 처인구 백암면 근창리,89-8,성산그린,경기도 용인시 처인구 백암면 근창리 89-8 성산그린,37.161194458385,127.364384762689,Y
경기도 군포시 당동,922-18,효성101동(922-18),경기도 군포시 당동 922-18 효성101동(922-18),37.3460515023181,126.946332819476,Y
경기도 연천군 전곡읍 전곡리,480-35,영도플라자,경기도 연천군 전곡읍 전곡리 480-35 영도플라자,38.0262051250515,127.067286094727,Y
경기도 구리시 수택동,626-50,광덕,경기도 구리시 수택동 626-50 광덕,37.5934231796536,127.14453845301,Y
경기도 성남시 중원구 성남동,2334,S.N블르버드,경기도 성남시 중원구 성남동 2334 S.N블르버드,37.4344756268082,127.138397734871,Y
경기도 안양시 동안구 비산동,281-1,화남9,경기도 안양시 동안구 비산동 281-1 화남9,37.4074851510548,126.943753067489,Y
경기도 용인시 수지구 죽전동,893-8,한솔노블(105동),경기도 용인시 수지구 죽전동 893-8 한솔노블(105동),37.3315748870333,127.106241011844,Y
경기도 군포시 당정동,966-6,뷰티C동,경기도 군포시 당정동 966-6 뷰티C동,37.3473178311767,126.953861161573,Y
경기도 안성시 죽산면 죽산리,456-11,강림,경기도 안성시 죽산면 죽산리 456-11 강림,37.0774232336911,127.422923178177,Y
경기도 수원시 영통구 매탄동,172-181,성신,경기도 수원시 영통구 매탄동 172-181 성신,37.2732699650293,127.039664742881,Y
경기도 용인시 수지구 상현동,33,현대파인빌리지(204동),경기도 용인시 수지구 상현동 33 현대파인빌리지(204동),37.3108622901415,127.09159258422,Y
경기도 군포시 당정동,984-1,거성에이플104동,경기도 군포시 당정동 984-1 거성에이플104동,37.3477882805312,126.957278302343,Y
경기도 수원시 팔달구 고등동,167-23,효성빌라B동,경기도 수원시 팔달구 고등동 167-23 효성빌라B동,,,N
경기도 수원시 권선구 탑동,854-5,보림A동,경기도 수원시 권선구 탑동 854-5 보림A동,37.2699031622603,126.978116954712,Y
경기도 평택시 평택동,288-18,새시장1,경기도 평택시 평택동 288-18 새시장1,36.9928481031917,127.090097487949,Y
경기도 용인시 수지구 죽전동,96-2,죽전GS자이104동,경기도 용인시 수지구 죽전동 96-2 죽전GS자이104동,37.3302251845482,127.131571942746,Y
경기도 의왕시 고천동,516,신양빌리지(A동),경기도 의왕시 고천동 516 신양빌리지(A동),37.3482499599815,126.977052185643,Y
경기도 이천시 장호원읍 장호원리,143-2,세진,경기도 이천시 장호원읍 장호원리 143-2 세진,37.1187021176295,127.630585200881,Y
경기도 용인시 수지구 죽전동,871-8,"한솔노블(101,102동)","경기도 용인시 수지구 죽전동 871-8 한솔노블(101,102동)",37.3325328236142,127.105277708323,Y
경기도 동두천시 생연동,360-2,대방노블랜드1차,경기도 동두천시 생연동 360-2 대방노블랜드1차,37.8979228159256,127.061084835317,Y
경기도 군포시 당동,951-6,남광팰리스(9B-5L),경기도 군포시 당동 951-6 남광팰리스(9B-5L),37.3500976606991,126.940129396704,Y
경기도 용인시 수지구 죽전동,871-12,한솔노블(104동),경기도 용인시 수지구 죽전동 871-12 한솔노블(104동),37.3319886430934,127.106538920613,Y
경기도 평택시 신장동,322-4,삼보데파트,경기도 평택시 신장동 322-4 삼보데파트,37.0800105228,127.053220189911,Y
경기도 동두천시 생연동,790-5,화성아파트5차,경기도 동두천시 생연동 790-5 화성아파트5차,37.8996016153433,127.046776612339,Y
경기도 안양시 동안구 관양동,1481-5,에덴,경기도 안양시 동안구 관양동 1481-5 에덴,37.4026854417148,126.973012784778,Y
경기도 안양시 만안구 안양동,144-42,무림,경기도 안양시 만안구 안양동 144-42 무림,,,N
경기도 안성시 죽산면 죽산리,646-2,심종,경기도 안성시 죽산면 죽산리 646-2 심종,37.0769145493319,127.418640338353,Y
경기도 용인시 처인구 포곡읍 삼계리,369-7,대명(1동),경기도 용인시 처인구 포곡읍 삼계리 369-7 대명(1동),37.2856822628512,127.236833262629,Y
경기도 용인시 기흥구 신갈동,34-16,금강아파트-1,경기도 용인시 기흥구 신갈동 34-16 금강아파트-1,37.276758591266,127.107726931612,Y
경기도 여주시 홍문동,286-11,대우,경기도 여주시 홍문동 286-11 대우,37.2912450226927,127.639196907409,Y
경기도 남양주시 화도읍 묵현리,478-7,도시그린(나동),경기도 남양주시 화도읍 묵현리 478-7 도시그린(나동),37.6566808906079,127.278304484132,Y
경기도 고양시 덕양구 토당동,880-20,윤창APT,경기도 고양시 덕양구 토당동 880-20 윤창APT,37.6202025146357,126.828144629572,Y
경기도 남양주시 금곡동,162-69,금성하이빌,경기도 남양주시 금곡동 162-69 금성하이빌,37.638073373173,127.213311736878,Y
경기도 부천시 오정구 원종동,산27-1,문화2차,경기도 부천시 오정구 원종동 산27-1 문화2차,37.5288005336917,126.80799435053,Y
경기도 안양시 동안구 호계동,991-3,화남4차,경기도 안양시 동안구 호계동 991-3 화남4차,37.3742330726644,126.961479692304,Y
경기도 용인시 처인구 포곡읍 삼계리,115-4,현대그린(102동),경기도 용인시 처인구 포곡읍 삼계리 115-4 현대그린(102동),37.2971543449962,127.234660557148,Y
경기도 수원시 팔달구 인계동,956-1,은하,경기도 수원시 팔달구 인계동 956-1 은하,37.2746866984648,127.027883384271,Y
경기도 부천시 오정구 원종동,292-6,르네상스3차,경기도 부천시 오정구 원종동 292-6 르네상스3차,37.5242104310118,126.809804478601,Y
경기도 고양시 덕양구 주교동,575-9,영신(575-9),경기도 고양시 덕양구 주교동 575-9 영신(575-9),37.6613313064258,126.83500447522,Y
경기도 안양시 동안구 비산동,326-10,삼호맨션7차,경기도 안양시 동안구 비산동 326-10 삼호맨션7차,37.403636473317,126.943252437302,Y
경기도 남양주시 진건읍 용정리,790-1,현대A,경기도 남양주시 진건읍 용정리 790-1 현대A,37.6577508696009,127.181516991667,Y
