구간,샘플수,3분류정확도,MacroF1,상승정밀도,상승재현율,Top20상승적중률,Bottom20하락적중률
전체,39158,0.4128,0.4053,0.5712,0.4057,0.6435,0.5148
홀드아웃,4244,0.4138,0.4097,0.6042,0.3936,0.6625,0.5175
