비교단위,대표국면,시작년월,종료년월,distance,수도권_평균YoY_pct,지방광역시_평균YoY_pct,기타지방_평균YoY_pct,수도권_상승지역비중_pct,지방광역시_상승지역비중_pct,기타지방_상승지역비중_pct,수도권_거래량지수,지방광역시_거래량지수,기타지방_거래량지수,수도권_전세가율_pct,지방광역시_전세가율_pct,기타지방_전세가율_pct,수도권_월세비중_pct,지방광역시_월세비중_pct,기타지방_월세비중_pct,정책국면태그
6개월 롤링창,수도권 선도 회복기,202401,202406,1.5821586045997302,5.317916666666667,1.4179166666666667,0.5358333333333334,86.65514142834819,65.43476675055622,54.623361759520805,102.51109318273497,76.37223974763407,101.51853922116639,63.58083333333334,67.27749999999999,77.70458333333333,29.251331775325564,33.3841523887855,30.995112414467254,규제완화 이후 선별 회복
6개월 롤링창,수도권 선도 회복기,202312,202405,1.8482111624739592,6.022916666666666,1.94125,0.5525000000000001,86.26625253945929,70.60309297151403,54.81336910071352,81.33992201156381,66.41955835962146,91.2800447177194,63.50416666666666,67.34791666666666,77.67291666666667,29.2742070882662,33.69115471847014,30.703855991135356,규제완화 이후 선별 회복
6개월 롤링창,수도권 선도 회복기,202310,202403,1.857266222379142,5.619583333333334,1.4445833333333333,-0.13916666666666666,80.01793248945147,63.383119962067326,49.16001083107619,53.90278338039531,53.2702418506835,79.06185951183157,63.10666666666666,66.77374999999999,77.69708333333332,29.855971561157634,34.93068380802776,30.744818612743142,규제완화 이후 선별 회복
6개월 롤링창,수도권 선도 회복기,202309,202402,1.9307364650327425,4.150833333333334,0.3604166666666668,-1.0041666666666667,69.5903009105041,53.793266951161684,43.63397245873801,42.991125453812025,46.745531019978976,69.92267561021055,62.522083333333335,66.02208333333333,77.23166666666667,30.006695551568523,35.34870553672909,31.14175011261582,규제완화 이후 선별 회복
6개월 롤링창,수도권 선도 회복기,202311,202404,1.984519942738653,6.02375,2.0254166666666666,0.3695833333333334,83.37595718080951,70.83926031294452,53.397149661238274,66.11873067096947,59.24290220820189,84.36277249860257,63.396666666666675,67.24083333333334,77.98958333333333,29.419788866499243,34.22137181467917,30.38639567367504,규제완화 이후 선별 회복
6개월 롤링창,수도권 선도 회복기,202308,202401,2.061170247364559,1.7029166666666669,-1.2787499999999998,-2.08625,56.54646974167293,41.90617743249322,37.94353886132766,39.33037515127067,44.8422712933754,68.56251164523943,61.7525,65.42083333333333,76.70333333333333,30.11707384847998,36.0584677629329,31.796716664679995,규제완화 이후 선별 회복
6개월 롤링창,금리충격·조정기,202307,202312,2.4990619654394766,-1.4654166666666668,-3.6624999999999996,-3.4812499999999997,42.42788790157211,29.74401527033106,31.580109768760405,37.08148446954417,44.3217665615142,67.72405440655861,61.260416666666664,64.88416666666667,76.19208333333333,29.790469637542127,36.65009835456348,32.431817674781,금리 급등·대출 총량 규제
6개월 롤링창,금리충격·조정기,202306,202311,3.012049900279081,-5.331250000000001,-6.349166666666666,-4.747916666666667,28.65011012379433,16.680952207267996,26.044925553639047,41.17251579938147,47.98107255520505,73.56064840693125,60.743750000000006,64.25166666666667,75.81625,29.733664772142685,36.99263838647895,33.06659459088713,금리 급등·대출 총량 규제
6개월 롤링창,금리충격·조정기,202205,202210,3.5297004593428065,-6.037916666666667,-3.0704166666666666,6.538333333333333,35.60830036013859,37.39571555361029,78.02197506984741,25.050423557886244,33.32807570977918,69.149431712316,60.302083333333336,66.55874999999999,77.84750000000001,31.176681363354447,33.22845842802665,31.18275259042034,금리 급등·대출 총량 규제
6개월 롤링창,금리충격·조정기,202204,202209,3.5476100183917465,-0.7354166666666666,-0.4575,8.31,50.53428720224386,48.90043890043891,82.62663766376637,29.380126395051764,37.52365930599369,79.73262530277623,58.965833333333336,67.02291666666666,78.28500000000001,30.34757706682318,31.94037339857314,30.70394557075052,금리 급등·대출 총량 규제
