권역,시도,우선 회복 후보,정책 리스크 경계,정책 민감 관찰 후보,정책 중립,정책 해석 주의
기타지방,강원특별자치도,0,10,1,0,2
기타지방,경상남도,0,15,0,1,1
기타지방,경상북도,0,10,0,0,5
기타지방,세종특별자치시,0,0,0,1,0
기타지방,전라남도,0,9,0,0,3
기타지방,전북특별자치도,0,6,2,0,1
기타지방,제주특별자치도,0,2,0,0,0
기타지방,충청남도,0,12,0,0,2
기타지방,충청북도,0,8,3,0,1
수도권,경기도,3,17,11,13,3
수도권,서울특별시,0,25,0,0,0
수도권,인천광역시,0,4,1,2,2
지방광역시,광주광역시,1,2,1,0,1
지방광역시,대구광역시,0,7,1,0,0
지방광역시,대전광역시,0,4,0,1,0
지방광역시,부산광역시,0,11,1,2,2
지방광역시,울산광역시,0,3,1,0,1
