정책후판정,정책세부유형,심화행동라벨,시도,시군구,투자검토분류,상승확률점수,투자적합성점수,정책메모,토허활성여부,임차수요기반양호,월세비중높음,임차선행,broad,completed_unsold,completed_unsold_ratio_pct,정책판정메모
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,부산광역시,금정구,판단 보류,53.86140289545315,55.48265138281801,중립,아니오,아니오,아니오,아니오,금정구,257.0,0.5294166117336849,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.529%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,충청북도,제천시,즉시 제외,53.73235883977799,30.500642640757107,중립,아니오,아니오,예,예,제천시,92.0,0.28075315084378527,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.281%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전라남도,여수시,즉시 제외,53.71414766322946,43.79305625991129,중립,아니오,예,아니오,예,여수시,451.0,0.6118323769213029,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.612%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,대전광역시,대덕구,즉시 제외,53.655727069706835,41.698181554734475,중립,아니오,예,아니오,예,대덕구,1.0,0.002242605009979592,"시장 규모·출구 점검형, 준공후미분양비율 0.002%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전북특별자치도,완주군,즉시 제외,53.495712152931056,40.095631384481635,중립,아니오,예,아니오,예,완주군,138.0,0.5608616134931924,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.561%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,전북특별자치도,정읍시,즉시 제외,53.20774338273961,22.93902828424309,중립,아니오,아니오,아니오,예,정읍시,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 선행"
정책 리스크 경계,공급 부담 우선 점검형,회피,경기도,이천시,즉시 제외,53.03041259468993,31.7806381328804,수도권 공급 부담 경계,아니오,아니오,예,아니오,이천시,3.0,0.006917383384445111,"공급 부담 우선 점검형, 준공후미분양비율 0.007%, 수도권 공급 부담 경계, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경상북도,포항시 북구,즉시 제외,52.84641350631595,47.25603129754401,중립,아니오,아니오,아니오,예,포항시,1148.0,0.7952396456057468,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.795%, 중립, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,강동구,판단 보류,52.802186655045496,88.84359546099749,중립,예,아니오,아니오,아니오,강동구,285.0,0.2916764745013356,"직접 규제 영향형, 준공후미분양비율 0.292%, 중립, 토허 활성"
정책 리스크 경계,시장 규모·출구 점검형,회피,경상북도,예천군,즉시 제외,52.69710411553695,28.67094109976092,중립,아니오,아니오,아니오,예,예천군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,충청남도,천안시 동남구,즉시 제외,52.63356305906442,41.20517278852424,중립,아니오,아니오,예,예,천안시,322.0,0.15625227463520916,"시장 규모·출구 점검형, 준공후미분양비율 0.156%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,공급 부담 우선 점검형,보수 접근,경기도,광주시,판단 보류,52.60303746017209,65.15676946235521,수도권 공급 부담 경계,아니오,예,아니오,예,광주시,48.0,0.07794105707558659,"공급 부담 우선 점검형, 준공후미분양비율 0.078%, 수도권 공급 부담 경계, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,경기도,양주시,판단 보류,52.32119450221225,62.39226040501126,중립,아니오,아니오,예,아니오,양주시,374.0,0.38910505836575876,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.389%, 중립, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,충청남도,아산시,즉시 제외,52.17308962057762,47.44575119203822,중립,아니오,아니오,예,예,아산시,328.0,0.27408020188346577,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.274%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,공급 부담 우선 점검형,회피,경기도,안성시,즉시 제외,52.15376727792528,23.662971817720784,수도권 공급 부담 경계,아니오,아니오,예,아니오,안성시,85.0,0.1520980585130178,"공급 부담 우선 점검형, 준공후미분양비율 0.152%, 수도권 공급 부담 경계, 월세 비중 높음"
정책 리스크 경계,시장 규모·출구 점검형,회피,경기도,부천시 오정구,즉시 제외,52.08017873446724,37.58096066072593,중립,아니오,아니오,아니오,예,부천시,129.0,0.0773075401819424,"시장 규모·출구 점검형, 준공후미분양비율 0.077%, 중립, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,인천광역시,강화군,즉시 제외,51.929380106049166,4.88698109106716,중립,아니오,아니오,아니오,예,강화군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,구로구,판단 보류,51.90026233615893,76.45256935556147,중립,예,아니오,아니오,아니오,구로구,30.0,0.035203003989673784,"직접 규제 영향형, 준공후미분양비율 0.035%, 중립, 토허 활성"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,전북특별자치도,군산시,판단 보류,51.7745825875305,50.35402931729817,중립,아니오,아니오,아니오,아니오,군산시,372.0,0.42989876577451114,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.430%, 중립"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,동대문구,판단 보류,51.69461824593217,73.84784842801217,중립,예,아니오,아니오,아니오,동대문구,53.0,0.08048717520387554,"직접 규제 영향형, 준공후미분양비율 0.080%, 중립, 토허 활성"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경상남도,거제시,즉시 제외,51.61954824403862,41.15852431436,중립,아니오,아니오,예,예,거제시,425.0,0.5881701680090785,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.588%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,공급 부담 우선 점검형,보수 접근,경기도,평택시,판단 보류,51.56310699023732,78.33825711533457,수도권 공급 부담 경계,아니오,아니오,예,예,평택시,33.0,0.01831623817770081,"공급 부담 우선 점검형, 준공후미분양비율 0.018%, 수도권 공급 부담 경계, 임차 선행, 월세 비중 높음"
정책 리스크 경계,정책 리스크 점검형,관찰 유지,충청남도,천안시 서북구,우선 검토,51.49842638348911,66.60399913062378,중립,아니오,아니오,아니오,예,천안시,322.0,0.15625227463520916,"정책 리스크 점검형, 준공후미분양비율 0.156%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,관찰 유지,울산광역시,울주군,우선 검토,51.419481843312425,59.89241469245816,중립,아니오,아니오,예,예,울주군,517.0,0.8919021495359348,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.892%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경상남도,고성군,즉시 제외,51.408243637761856,12.827646163877418,중립,아니오,아니오,예,아니오,고성군,111.0,2.091577162238553,"미분양·월세 구조 동시 점검형, 준공후미분양비율 2.092%, 중립, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,울산광역시,북구,판단 보류,51.35454447013127,65.35892626669994,중립,아니오,아니오,아니오,예,북구,184.0,0.2637992831541219,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.264%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,강원특별자치도,강릉시,즉시 제외,51.24141075326481,41.813615397618875,중립,아니오,아니오,아니오,예,강릉시,209.0,0.3619737092779577,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.362%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,대구광역시,중구,판단 보류,51.15000395467897,55.66935260987279,중립,아니오,아니오,아니오,아니오,중구,446.0,1.4815306935955355,"미분양·월세 구조 동시 점검형, 준공후미분양비율 1.482%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,보수 접근,광주광역시,북구,판단 보류,50.882016278748495,80.49463213847768,중립,아니오,아니오,아니오,예,북구,506.0,0.35772104827820234,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.358%, 중립, 임차 선행"
정책 리스크 경계,직접 규제 영향형,회피,서울특별시,금천구,즉시 제외,50.84088604012947,47.27150029113371,중립,예,아니오,아니오,예,금천구,8.0,0.025077583774803295,"직접 규제 영향형, 준공후미분양비율 0.025%, 중립, 토허 활성, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,대전광역시,동구,즉시 제외,50.82051717299264,49.41563964892227,중립,아니오,아니오,예,예,동구,93.0,0.15976910786991702,"시장 규모·출구 점검형, 준공후미분양비율 0.160%, 중립, 임차 선행, 월세 비중 높음"
정책 리스크 경계,시장 규모·출구 점검형,회피,충청북도,청주시 서원구,즉시 제외,50.73916790485639,48.93066724625082,중립,아니오,예,아니오,예,청주시,4.0,0.0015889094123021311,"시장 규모·출구 점검형, 준공후미분양비율 0.002%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,직접 규제 영향형,보수 접근,서울특별시,양천구,판단 보류,50.395126271377144,81.10813269257086,중립,예,아니오,아니오,아니오,양천구,5.0,0.005425347222222222,"직접 규제 영향형, 준공후미분양비율 0.005%, 중립, 토허 활성"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,전라남도,광양시,즉시 제외,50.334856058076696,27.698138622575343,중립,아니오,아니오,아니오,예,광양시,408.0,0.7256945679627193,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.726%, 중립, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,전라남도,강진군,즉시 제외,50.20600758579112,14.36209519669637,중립,아니오,아니오,아니오,아니오,강진군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경기도,양평군,즉시 제외,49.92830525451326,42.93088459030646,중립,아니오,예,아니오,예,양평군,99.0,0.8888489854551984,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.889%, 중립, 임차 수요 기반 양호, 임차 선행"
정책 리스크 경계,시장 규모·출구 점검형,회피,강원특별자치도,횡성군,즉시 제외,49.79634239545802,9.792436426863723,중립,아니오,아니오,아니오,아니오,횡성군,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,강서구,판단 보류,49.71092208770559,84.69052621410805,중립,예,아니오,아니오,아니오,강서구,107.0,0.09071179083726134,"직접 규제 영향형, 준공후미분양비율 0.091%, 중립, 토허 활성"
정책 리스크 경계,시장 규모·출구 점검형,회피,충청남도,계룡시,즉시 제외,49.64663717475912,12.055940603357833,중립,아니오,예,아니오,아니오,계룡시,0.0,0.0,"시장 규모·출구 점검형, 준공후미분양비율 0.000%, 중립, 임차 수요 기반 양호"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,영등포구,판단 보류,49.29736844171215,81.6795060655091,중립,예,아니오,아니오,아니오,영등포구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성"
정책 리스크 경계,직접 규제 영향형,관찰 유지,서울특별시,노원구,판단 보류,49.16069831407204,86.5545064009166,중립,예,아니오,아니오,아니오,노원구,0.0,0.0,"직접 규제 영향형, 준공후미분양비율 0.000%, 중립, 토허 활성"
정책 리스크 경계,시장 규모·출구 점검형,회피,인천광역시,중구,즉시 제외,49.13439190990879,49.77125208958868,중립,아니오,아니오,아니오,예,중구,31.0,0.06685645272601794,"시장 규모·출구 점검형, 준공후미분양비율 0.067%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,충청남도,공주시,즉시 제외,48.85108435235546,17.08246462792576,중립,아니오,아니오,아니오,예,공주시,240.0,1.199460242890699,"미분양·월세 구조 동시 점검형, 준공후미분양비율 1.199%, 중립, 임차 선행"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,강원특별자치도,평창군,즉시 제외,48.60512064635877,36.20191262768963,중립,아니오,아니오,예,아니오,평창군,251.0,3.9053990975571806,"미분양·월세 구조 동시 점검형, 준공후미분양비율 3.905%, 중립, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,경상남도,통영시,즉시 제외,48.389508610459345,18.439684341299937,중립,아니오,아니오,예,아니오,통영시,203.0,0.6909227051495864,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.691%, 중립, 월세 비중 높음"
정책 리스크 경계,미분양·월세 구조 동시 점검형,회피,부산광역시,사상구,즉시 제외,48.3882139063439,36.724383588108864,중립,아니오,아니오,예,예,사상구,361.0,0.5809369015625754,"미분양·월세 구조 동시 점검형, 준공후미분양비율 0.581%, 중립, 임차 선행, 월세 비중 높음"
