시도,시군구,pre6_sale_pp,pre6_sale_trades,anchor_sale_pp,prev12_sale_pp,pre12_change_pct,급지_점수,급지그룹,distance,정책국면,selected
서울특별시,성동구,6120.579926415071,180.5,6319.2222900834695,5585.124463268452,13.143804254371405,10.0,상급지,2.4355688815936594,2025-03 토허확대,1
서울특별시,마포구,5713.5714357588395,173.83333333333334,6290.423074273343,5020.558806216153,25.293285410479015,10.0,상급지,2.647987315208036,2025-03 토허확대,1
서울특별시,양천구,5049.693599695732,151.33333333333334,4824.259621042721,4113.377629936362,17.282196167273778,9.0,상급지,3.4904121059503357,2025-03 토허확대,1
서울특별시,동작구,4913.016205801653,163.83333333333334,5411.290890751481,4535.966932713256,19.29740606628798,9.0,상급지,3.504970846540861,2025-03 토허확대,1
서울특별시,영등포구,4767.2847886559475,190.33333333333334,4798.8672671312615,4240.365244923509,13.171082912642529,9.0,상급지,3.6196798707770705,2025-03 토허확대,0
서울특별시,강동구,4731.216466661764,191.5,5225.07972665148,4711.464201877935,10.901399284087177,9.0,상급지,3.705698430854944,2025-03 토허확대,0
서울특별시,광진구,5433.019824405994,82.83333333333333,5706.978402578798,4897.9003871354735,16.518874446046294,10.0,상급지,3.7761696355084333,2025-03 토허확대,0
서울특별시,중구,4862.395195809269,63.0,5129.095845845846,4443.118602057002,15.439093691337913,9.0,상급지,4.4707611871377715,2025-03 토허확대,0
서울특별시,서대문구,4120.072609021727,129.66666666666666,4429.862646566165,3933.1742600116077,12.628181558197493,9.0,상급지,4.487457551610585,2025-03 토허확대,0
서울특별시,강서구,3778.6056805593084,168.16666666666666,3985.2742616033756,3601.0729847494554,10.669077757685352,8.0,상급지,4.782339295922015,2025-03 토허확대,0
서울특별시,동대문구,3686.8607843518876,151.83333333333334,3859.4108293075687,3548.800700116686,8.752537982216623,8.0,상급지,4.972126861356032,2025-03 토허확대,0
서울특별시,성북구,3460.6904497894866,172.5,3501.973327997364,3214.9860014145943,8.926549803218276,8.0,상급지,5.074887271286567,2025-03 토허확대,0
서울특별시,관악구,3452.577028940455,92.33333333333333,3498.1851851851848,2972.554663800692,17.682787394477195,8.0,상급지,5.38496753532649,2025-03 토허확대,0
서울특별시,노원구,3135.660653961166,245.83333333333334,3183.0116918844565,3082.575300189981,3.2581975106426464,7.0,중급지,5.65874114255834,2025-03 토허확대,0
