분석권역,급지레벨,기준기간,전용면적_구분,최소거래건수,시도,시군구,평단가_평균,평단가_중앙값,거래건수,급지,급지_점수,급지그룹,산정방식
수도권,시군구,202301~202512,중소형,50,서울특별시,강남구,9824.660049814347,9595.808208406163,3403,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,서초구,9931.992081252567,9316.319901920833,3076,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,송파구,7497.713670664686,7209.532794995571,5556,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,과천시,7081.83372426003,6926.665625403208,936,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,용산구,6848.317937188551,6638.122738889442,837,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,성동구,6112.304946544849,5834.424856983661,3502,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,광진구,5642.370833698234,5584.887999981357,1840,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,마포구,5748.732820364162,5538.840078501447,3398,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,경기도,성남시 분당구,5402.9137144393835,5293.615646526599,4618,1,10,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,동작구,5166.4462867029315,4959.486920750158,3686,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,강동구,4976.572320606868,4949.555174283476,4806,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,중구,4927.716378354958,4868.321636379215,899,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,종로구,5368.4376425921,4817.393481969101,521,2,9,상급지,현재 DuckDB 재산출
수도권,시군구,202301~202512,중소형,50,서울특별시,양천구,5079.977972795827,4698.644518686082,3342,2,9,상급지,현재 DuckDB 재산출
