시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
전라남도,여수시,488.0,934.0,93.2,97.5,1.2,1.2,4.3,93.6,98.2,1.0,0.9,4.6,-0.8999999999999915,2.299999999999997,-0.8,-1.5999999999999999,3.1999999999999997
경기도,안산시 상록구,484.0,832.0,94.0,96.7,3.3,0.0,2.7,95.6,98.0,2.0,0.0,2.4,-1.2999999999999972,-3.0,3.0,0.0,-1.5999999999999996
부산광역시,사상구,483.0,914.0,94.6,95.7,2.9,1.4,1.0,96.8,97.6,1.5,0.9,0.8,-0.20000000000000284,-4.0,2.9,1.0999999999999999,-3.9000000000000004
서울특별시,관악구,460.0,1184.0,100.0,100.0,0.0,0.0,0.0,99.2,99.8,0.1,0.1,0.7,0.7999999999999972,0.0,0.0,0.0,-0.8
서울특별시,중랑구,457.0,1322.0,98.7,100.0,0.0,0.0,1.3,76.2,77.0,0.0,23.0,0.8,0.29999999999999716,0.7999999999999972,-0.4,-0.4,0.5
경상북도,포항시 남구,453.0,953.0,94.9,98.7,0.7,0.7,3.8,90.7,93.7,6.0,0.3,3.0,3.4000000000000057,4.0,-4.3999999999999995,0.49999999999999994,0.5999999999999996
대전광역시,대덕구,447.0,801.0,95.5,98.9,0.2,0.9,3.4,96.8,99.0,0.4,0.6,2.2,-3.5999999999999943,-1.0999999999999943,0.2,0.9,2.5
경기도,수원시 팔달구,446.0,994.0,98.7,99.6,0.4,0.0,0.9,98.8,99.7,0.3,0.0,0.9,2.5,1.0,-0.6,-0.3,-1.5
경기도,수원시 장안구,441.0,1067.0,99.8,100.0,0.0,0.0,0.2,99.6,100.0,0.0,0.0,0.4,1.7999999999999972,1.0,-0.2,-0.7,-0.8
인천광역시,중구,440.0,788.0,97.0,99.3,0.0,0.7,2.3,96.2,99.2,0.1,0.6,3.0,0.7999999999999972,0.5999999999999943,-1.3,0.7,-0.30000000000000027
