시도,시군구,total_recent_3m,total_recent_6m,개인간거래비중_최근3m,개인매수비중_최근3m,법인매수비중_최근3m,기타매수비중_최근3m,비개인매도물량_개인흡수비중_최근3m,개인간거래비중_최근6m,개인매수비중_최근6m,법인매수비중_최근6m,기타매수비중_최근6m,비개인매도물량_개인흡수비중_최근6m,개인간거래비중_변화_3mYoY,개인매수비중_변화_3mYoY,법인매수비중_변화_3mYoY,기타매수비중_변화_3mYoY,비개인매도물량_개인흡수비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,89.3,99.7,0.2,0.1,10.4,89.7,99.8,0.2,0.1,10.0,19.0,0.20000000000000284,-0.2,0.0,-18.9
경기도,용인시,4472.0,8695.0,98.5,99.8,0.1,0.1,1.4,98.7,99.8,0.1,0.1,1.1,0.29999999999999716,0.29999999999999716,-0.30000000000000004,0.0,0.09999999999999987
경상남도,창원시,3699.0,6654.0,95.1,99.3,0.6,0.1,4.2,95.6,99.5,0.4,0.1,4.0,-0.9000000000000057,-0.10000000000000853,0.0,0.1,0.8000000000000003
경기도,수원시,3573.0,8006.0,97.1,99.8,0.2,0.0,2.7,91.1,99.9,0.1,0.0,8.7,6.199999999999989,0.5999999999999943,-0.39999999999999997,-0.3,-5.6000000000000005
충청북도,청주시,3411.0,6990.0,94.3,98.6,1.1,0.3,4.3,88.5,98.9,0.9,0.2,10.4,6.0,3.6999999999999886,-1.5,-2.3000000000000003,-2.3
전라북도,전주시,3103.0,6139.0,90.2,95.0,4.4,0.5,4.8,86.7,97.2,2.4,0.4,10.5,-1.2000000000000028,1.0,1.0000000000000004,-2.0,2.0999999999999996
경기도,고양시,2655.0,4751.0,98.5,99.7,0.0,0.3,1.2,98.5,99.7,0.1,0.2,1.2,6.599999999999994,6.5,-6.7,0.19999999999999998,-0.10000000000000009
충청남도,천안시,2583.0,5021.0,96.4,99.2,0.7,0.1,2.9,94.0,99.1,0.7,0.2,5.1,2.700000000000003,1.2000000000000028,-1.0,-0.19999999999999998,-1.4
경기도,남양주시,2455.0,4242.0,97.1,99.3,0.2,0.4,2.2,94.9,99.4,0.2,0.3,4.5,-1.4000000000000057,-0.20000000000000284,-0.2,0.30000000000000004,1.2000000000000002
경기도,용인시 기흥구,2327.0,3797.0,99.1,99.7,0.1,0.1,0.6,99.1,99.7,0.2,0.1,0.6,1.0,0.5,-0.6,0.0,-0.5000000000000001
경기도,부천시,2089.0,3630.0,91.7,97.7,1.2,1.1,5.9,88.6,96.3,1.2,2.6,7.7,-3.799999999999997,-1.7000000000000028,0.7999999999999999,0.9000000000000001,2.1000000000000005
경상남도,진주시,2007.0,3141.0,64.9,99.8,0.1,0.1,34.9,76.4,99.6,0.2,0.2,23.2,-32.8,0.5,-0.4,-0.19999999999999998,33.3
세종특별자치시,세종특별자치시,1998.0,3541.0,79.4,98.6,1.1,0.3,19.2,75.4,98.6,0.7,0.7,23.2,-13.699999999999989,3.0,1.0,-4.0,16.599999999999998
인천광역시,서구,1957.0,3573.0,91.8,99.5,0.4,0.1,7.7,90.9,99.4,0.3,0.3,8.6,8.299999999999997,11.200000000000003,-11.1,-0.1,2.9000000000000004
대구광역시,달서구,1881.0,3382.0,83.6,86.6,13.4,0.0,3.0,85.6,92.3,7.6,0.1,6.7,-14.700000000000003,-13.200000000000003,13.200000000000001,0.0,1.5
경상남도,김해시,1870.0,3681.0,96.5,98.6,1.1,0.3,2.1,93.3,98.9,1.0,0.2,5.5,1.0999999999999943,0.6999999999999886,-0.5,-0.10000000000000003,-0.3999999999999999
경기도,시흥시,1863.0,3981.0,75.8,99.7,0.2,0.1,23.9,66.4,99.8,0.2,0.1,33.4,32.5,-0.20000000000000284,0.1,0.1,-32.6
대전광역시,서구,1861.0,3247.0,97.8,99.6,0.2,0.2,1.8,98.1,99.7,0.1,0.2,1.6,5.0,3.8999999999999915,-0.6000000000000001,-3.3,-1.2
경기도,평택시,1858.0,3328.0,97.0,99.2,0.3,0.5,2.2,97.2,99.0,0.6,0.4,1.8,6.799999999999997,0.10000000000000853,-0.2,0.09999999999999998,-6.7
경기도,안양시,1832.0,4244.0,98.6,99.8,0.2,0.0,1.2,95.4,97.9,0.2,1.9,2.4,1.5999999999999943,1.2000000000000028,-1.1,-0.1,-0.40000000000000013
대전광역시,유성구,1730.0,2855.0,77.2,99.3,0.4,0.3,22.1,84.1,99.4,0.4,0.2,15.3,-19.0,0.09999999999999432,0.0,-0.2,19.200000000000003
충청남도,천안시 서북구,1690.0,3300.0,96.5,99.3,0.5,0.1,2.8,92.7,99.0,0.7,0.3,6.4,2.0999999999999943,1.7999999999999972,-1.6,-0.30000000000000004,-0.30000000000000027
전라북도,전주시 덕진구,1652.0,3397.0,84.8,91.5,8.0,0.5,6.7,79.1,95.6,4.0,0.4,16.5,-12.100000000000009,-7.5,7.6,-0.19999999999999996,4.6
인천광역시,연수구,1651.0,2765.0,96.7,99.7,0.2,0.1,3.0,96.9,99.7,0.2,0.1,2.8,-0.5,0.10000000000000853,-0.2,0.1,0.5
대구광역시,수성구,1637.0,2905.0,99.1,99.8,0.2,0.1,0.6,99.1,99.8,0.1,0.0,0.7,0.6999999999999886,0.0,0.0,0.1,-0.7000000000000001
경상북도,구미시,1607.0,2991.0,89.7,99.0,0.7,0.2,9.3,92.3,99.0,0.7,0.3,6.7,-4.799999999999997,1.0999999999999943,-0.8,-0.3,5.9
경기도,성남시,1573.0,4895.0,92.4,99.8,0.0,0.2,7.4,95.2,99.8,0.1,0.1,4.6,-2.299999999999997,0.09999999999999432,0.0,-0.09999999999999998,2.4000000000000004
강원도,원주시,1564.0,2949.0,91.0,99.1,0.8,0.1,8.1,92.1,99.4,0.5,0.1,7.3,12.900000000000006,10.0,-9.899999999999999,-0.1,-3.0
부산광역시,부산진구,1513.0,2601.0,96.0,98.0,2.0,0.0,2.0,96.3,98.6,1.2,0.2,2.3,10.799999999999997,7.5,-7.4,-0.1,-3.3
울산광역시,남구,1508.0,2878.0,97.8,99.5,0.3,0.1,1.7,98.0,99.7,0.2,0.1,1.7,1.3999999999999915,0.7999999999999972,-1.0,0.1,-0.5999999999999999
경기도,수원시 권선구,1481.0,2931.0,96.5,99.7,0.3,0.0,3.2,79.6,99.8,0.2,0.0,20.2,18.799999999999997,1.1000000000000085,-0.8,-0.3,-17.7
경기도,용인시 수지구,1475.0,3666.0,97.5,99.9,0.0,0.1,2.4,98.5,99.9,0.0,0.1,1.4,-1.0,0.10000000000000853,-0.1,0.0,1.0999999999999999
부산광역시,해운대구,1475.0,2823.0,98.8,99.9,0.1,0.0,1.0,98.2,99.5,0.4,0.1,1.4,1.3999999999999915,0.9000000000000057,-0.6,-0.3,-0.6000000000000001
경상남도,창원시 성산구,1462.0,2624.0,97.7,99.2,0.7,0.1,1.5,97.7,99.4,0.5,0.1,1.7,0.6000000000000085,-0.09999999999999432,0.0,0.1,-0.7000000000000002
전라북도,전주시 완산구,1451.0,2742.0,96.4,99.0,0.4,0.6,2.6,96.1,99.2,0.4,0.4,3.1,10.200000000000003,9.599999999999994,-5.8999999999999995,-3.6999999999999997,-0.6000000000000001
충청남도,아산시,1438.0,2807.0,90.3,98.9,1.0,0.1,8.6,89.9,98.6,1.1,0.3,8.7,6.200000000000003,0.30000000000001137,-0.10000000000000009,-0.19999999999999998,-5.9
광주광역시,북구,1398.0,2531.0,93.9,98.6,1.3,0.1,4.7,95.1,98.8,0.9,0.2,3.7,8.400000000000006,0.3999999999999915,-0.09999999999999987,-0.30000000000000004,-7.8999999999999995
경상남도,양산시,1393.0,2598.0,95.8,98.5,1.4,0.1,2.7,94.3,98.8,1.1,0.1,4.5,1.7000000000000028,-0.5,0.4999999999999999,0.0,-2.3
대구광역시,북구,1374.0,2595.0,96.7,99.4,0.4,0.1,2.7,94.0,97.6,2.2,0.2,3.7,13.200000000000003,-0.09999999999999432,0.10000000000000003,-0.1,-13.3
경기도,의정부시,1364.0,2919.0,91.2,99.8,0.1,0.1,8.6,81.6,98.4,1.5,0.1,16.8,10.400000000000006,0.0,-0.1,0.1,-10.299999999999999
인천광역시,부평구,1362.0,2526.0,93.4,97.7,2.2,0.1,4.3,91.7,95.6,4.4,0.1,3.9,0.10000000000000853,2.9000000000000057,-3.0,0.1,2.8
서울특별시,송파구,1341.0,2331.0,97.5,100.0,0.0,0.0,2.5,97.4,99.9,0.0,0.0,2.5,0.09999999999999432,0.7999999999999972,-0.5,-0.3,0.6000000000000001
광주광역시,광산구,1311.0,2392.0,95.2,98.4,1.3,0.3,3.2,95.5,98.6,1.1,0.3,3.1,13.299999999999997,0.10000000000000853,0.19999999999999996,-0.3,-13.2
경상북도,포항시,1298.0,2599.0,96.8,99.2,0.2,0.5,2.4,95.1,97.3,2.4,0.3,2.3,2.5999999999999943,2.0,-2.4,0.3,-0.6000000000000001
서울특별시,성동구,1267.0,2440.0,29.6,29.8,63.1,7.2,0.2,62.7,63.4,32.8,3.8,0.6,-68.69999999999999,-70.0,62.9,7.2,-1.2
경기도,구리시,1258.0,1965.0,99.4,99.9,0.1,0.0,0.5,99.4,99.9,0.1,0.1,0.5,51.2,-0.09999999999999432,0.1,0.0,-51.3
경기도,고양시 덕양구,1243.0,2216.0,98.1,99.7,0.0,0.3,1.6,98.4,99.8,0.0,0.2,1.4,13.199999999999989,13.799999999999997,-14.1,0.3,0.6000000000000001
충청북도,청주시 흥덕구,1240.0,2407.0,95.8,97.7,1.8,0.5,1.9,95.9,98.5,1.2,0.2,2.7,13.299999999999997,4.5,0.8,-5.3,-8.799999999999999
경기도,김포시,1236.0,2277.0,99.2,99.4,0.3,0.3,0.2,99.1,99.4,0.2,0.4,0.3,23.799999999999997,0.0,-0.10000000000000003,0.09999999999999998,-23.8
서울특별시,노원구,1209.0,2797.0,96.4,96.8,0.1,3.1,0.4,97.9,98.5,0.0,1.4,0.6,1.8000000000000114,1.0,0.0,-0.9999999999999996,-0.7999999999999999
경기도,수원시 영통구,1205.0,3014.0,96.2,99.8,0.2,0.0,3.7,96.8,99.9,0.1,0.0,3.1,-1.2999999999999972,-0.10000000000000853,0.1,0.0,1.3000000000000003
경기도,안산시,1202.0,2144.0,96.4,97.8,1.8,0.3,1.4,96.8,98.6,1.2,0.2,1.8,0.4000000000000057,-1.6000000000000085,1.4,0.19999999999999998,-2.1
경기도,부천시 원미구,1199.0,2028.0,98.3,99.8,0.1,0.1,1.5,96.0,97.8,0.2,1.9,1.8,1.5999999999999943,-0.20000000000000284,0.1,0.1,-1.7999999999999998
부산광역시,동래구,1199.0,2219.0,97.2,99.3,0.7,0.0,2.2,96.6,99.1,0.9,0.0,2.5,0.7999999999999972,-0.4000000000000057,0.39999999999999997,0.0,-1.0999999999999996
경기도,군포시,1190.0,1892.0,92.6,99.9,0.0,0.1,7.3,94.0,99.9,0.0,0.1,5.9,-3.200000000000003,0.4000000000000057,-0.5,0.1,3.5999999999999996
전라남도,순천시,1169.0,2202.0,86.6,98.1,1.6,0.3,11.5,84.3,97.4,2.2,0.4,13.1,22.599999999999994,-1.2000000000000028,1.1,0.09999999999999998,-23.799999999999997
경기도,파주시,1150.0,2124.0,95.5,99.6,0.3,0.1,4.1,94.5,99.4,0.4,0.2,4.9,20.200000000000003,0.0,0.19999999999999998,-0.19999999999999998,-20.1
대구광역시,동구,1089.0,2016.0,94.4,99.4,0.1,0.5,5.1,92.4,99.7,0.0,0.2,7.3,22.30000000000001,6.200000000000003,-6.6000000000000005,0.4,-16.0
인천광역시,남동구,1082.0,2017.0,95.4,99.4,0.5,0.2,4.0,95.7,98.4,0.4,1.2,2.7,11.900000000000006,-0.29999999999999716,0.2,0.2,-12.2
부산광역시,남구,1018.0,1795.0,97.6,99.3,0.4,0.3,1.7,98.0,99.6,0.2,0.2,1.6,0.8999999999999915,0.7000000000000028,0.2,-0.8999999999999999,-0.19999999999999996
부산광역시,연제구,1002.0,1875.0,97.4,99.5,0.5,0.0,2.1,96.8,99.7,0.3,0.1,2.9,6.0,2.4000000000000057,-2.4,0.0,-3.6999999999999997
경기도,안양시 동안구,971.0,2775.0,98.9,99.7,0.3,0.0,0.8,94.3,96.9,0.2,2.9,2.6,0.8000000000000114,0.10000000000000853,0.0,-0.1,-0.7
경기도,양주시,968.0,1754.0,74.6,99.5,0.1,0.4,24.9,77.3,99.5,0.2,0.3,22.2,-23.60000000000001,0.09999999999999432,-0.5,0.4,23.7
울산광역시,북구,966.0,1966.0,97.8,99.1,0.5,0.4,1.2,97.9,99.1,0.6,0.3,1.3,-0.6000000000000085,-0.4000000000000057,0.09999999999999998,0.30000000000000004,0.09999999999999987
전라남도,광양시,937.0,1435.0,59.3,61.0,38.1,0.9,1.7,71.6,74.0,25.4,0.6,2.4,-36.0,-36.900000000000006,36.5,0.30000000000000004,-0.8
강원도,춘천시,926.0,1849.0,96.4,99.4,0.6,0.0,2.9,95.7,98.7,1.0,0.3,3.0,5.300000000000011,4.800000000000011,-4.6000000000000005,-0.2,-0.6000000000000001
부산광역시,북구,916.0,1687.0,96.2,99.8,0.2,0.0,3.6,96.9,99.7,0.2,0.1,2.8,2.1000000000000085,-0.20000000000000284,0.2,0.0,-2.3000000000000003
전라북도,군산시,913.0,1746.0,90.1,98.2,1.2,0.5,8.1,93.4,98.6,1.0,0.4,5.2,-3.0,0.10000000000000853,-0.40000000000000013,0.2,3.1999999999999993
충청남도,천안시 동남구,893.0,1721.0,96.1,99.0,0.9,0.1,2.9,96.6,99.2,0.7,0.1,2.6,3.6999999999999886,0.09999999999999432,0.09999999999999998,-0.19999999999999998,-3.6
울산광역시,중구,889.0,1541.0,76.8,83.8,15.7,0.4,7.0,84.9,90.3,9.3,0.3,5.4,-17.799999999999997,-15.799999999999997,15.5,0.2,2.0
대구광역시,달성군,880.0,1652.0,97.8,99.4,0.5,0.1,1.6,97.1,99.6,0.3,0.1,2.5,2.200000000000003,0.20000000000000284,0.0,-0.19999999999999998,-2.1
경기도,하남시,871.0,3003.0,87.1,100.0,0.0,0.0,12.9,76.2,99.9,0.0,0.1,23.7,35.8,0.09999999999999432,-0.1,0.0,-35.7
경기도,안양시 만안구,861.0,1469.0,98.3,99.9,0.1,0.0,1.6,97.5,99.7,0.3,0.0,2.2,4.0,3.8000000000000114,-3.8,0.0,-0.19999999999999996
광주광역시,서구,858.0,1635.0,96.3,98.1,1.0,0.8,1.9,96.0,98.4,0.9,0.7,2.4,1.3999999999999915,-0.8000000000000114,0.09999999999999998,0.6000000000000001,-2.1999999999999997
경기도,성남시 분당구,853.0,2922.0,99.3,99.9,0.0,0.1,0.6,98.6,99.9,0.0,0.1,1.3,2.0999999999999943,0.0,0.0,0.0,-2.1
경기도,광명시,847.0,2382.0,99.4,100.0,0.0,0.0,0.6,99.4,100.0,0.0,0.0,0.6,0.10000000000000853,0.0,0.0,0.0,-0.09999999999999998
경상북도,포항시 북구,845.0,1646.0,97.9,99.5,0.0,0.5,1.7,97.6,99.5,0.3,0.2,1.8,1.4000000000000057,0.09999999999999432,-0.5,0.3,-1.2
서울특별시,성북구,838.0,2224.0,98.7,99.9,0.0,0.1,1.2,95.0,96.0,0.0,4.0,0.9,-0.7000000000000028,0.10000000000000853,-0.2,0.1,0.7999999999999999
서울특별시,강남구,835.0,1503.0,96.0,99.5,0.4,0.1,3.5,97.1,99.5,0.3,0.1,2.5,-0.5999999999999943,-0.09999999999999432,0.0,0.1,0.5
서울특별시,강서구,828.0,2264.0,97.8,99.8,0.1,0.1,1.9,97.9,99.8,0.2,0.0,1.9,-1.0,-0.20000000000000284,0.1,0.1,0.7
제주특별자치도,제주시,824.0,1390.0,55.2,93.2,6.7,0.1,38.0,61.4,95.4,4.5,0.1,34.0,-35.099999999999994,-5.299999999999997,6.5,-1.2,29.7
경기도,광주시,818.0,1457.0,99.1,99.9,0.0,0.1,0.7,98.8,99.7,0.0,0.3,1.0,-0.6000000000000085,-0.09999999999999432,0.0,0.1,0.39999999999999997
부산광역시,사하구,812.0,1419.0,97.3,98.9,0.9,0.2,1.6,96.9,98.9,0.9,0.2,2.0,2.8999999999999915,1.7000000000000028,-0.4,-1.3,-1.1999999999999997
인천광역시,미추홀구,809.0,1588.0,93.7,99.0,0.6,0.4,5.3,91.4,99.2,0.6,0.2,7.8,-1.7999999999999972,0.20000000000000284,-0.4,0.2,2.0
경기도,고양시 일산서구,793.0,1395.0,98.6,99.6,0.0,0.4,1.0,98.2,99.6,0.1,0.3,1.4,0.6999999999999886,0.0,0.0,0.0,-0.7
전라남도,목포시,792.0,1992.0,87.6,97.7,2.0,0.3,10.1,64.4,98.4,1.4,0.2,34.0,-4.900000000000006,0.10000000000000853,0.10000000000000009,-0.2,5.0
충청남도,당진시,775.0,1232.0,75.5,79.0,20.6,0.4,3.5,82.7,86.0,13.5,0.6,3.2,-21.0,-19.700000000000003,19.3,0.4,1.2999999999999998
전라북도,익산시,772.0,1516.0,96.5,99.1,0.8,0.1,2.6,96.0,99.1,0.6,0.3,3.1,2.4000000000000057,1.5999999999999943,-1.0999999999999999,-0.4,-0.7999999999999998
경상북도,경산시,762.0,1483.0,97.6,98.8,0.8,0.4,1.2,97.8,99.1,0.7,0.3,1.2,2.0,0.7999999999999972,-0.8999999999999999,0.10000000000000003,-1.2
충청북도,청주시 서원구,760.0,1444.0,93.6,99.1,0.7,0.3,5.5,93.8,99.1,0.7,0.2,5.3,1.0999999999999943,1.6999999999999886,-0.10000000000000009,-1.5999999999999999,0.5999999999999996
경기도,오산시,735.0,1309.0,94.6,99.5,0.3,0.3,4.9,95.2,99.6,0.2,0.2,4.4,7.5,0.5999999999999943,-0.6000000000000001,0.09999999999999998,-6.9
울산광역시,울주군,735.0,1577.0,95.6,99.0,0.8,0.1,3.4,88.6,99.2,0.6,0.1,10.6,-0.30000000000001137,0.09999999999999432,-0.09999999999999998,-0.1,0.3999999999999999
인천광역시,계양구,728.0,1338.0,97.7,98.8,0.8,0.4,1.1,98.0,99.1,0.6,0.3,1.1,1.7000000000000028,1.5999999999999943,-1.0999999999999999,-0.4,-0.19999999999999996
경기도,부천시 소사구,727.0,1238.0,83.5,96.3,2.8,1.0,12.8,80.6,97.3,2.1,0.6,16.7,-14.799999999999997,-3.0,2.8,0.30000000000000004,11.8
경기도,안산시 단원구,718.0,1312.0,98.1,98.6,0.8,0.6,0.6,97.6,99.1,0.6,0.3,1.4,1.6999999999999886,-0.7000000000000028,0.30000000000000004,0.39999999999999997,-2.3
충청북도,청주시 상당구,718.0,1405.0,94.8,100.0,0.0,0.0,5.2,94.4,100.0,0.0,0.0,5.6,6.099999999999994,8.700000000000003,-8.7,0.0,2.6
서울특별시,구로구,711.0,1624.0,99.4,99.9,0.1,0.0,0.4,98.8,99.8,0.2,0.0,1.0,0.9000000000000057,0.10000000000000853,0.1,-0.2,-0.7999999999999999
