시도,시군구,total_recent_3m,total_recent_6m,시군구내비중_최근3m,시도내비중_최근3m,서울외지비중_최근3m,기타외지비중_최근3m,시군구내비중_최근6m,시도내비중_최근6m,서울외지비중_최근6m,기타외지비중_최근6m,시군구내비중_변화_3mYoY,시도내비중_변화_3mYoY,서울외지비중_변화_3mYoY,기타외지비중_변화_3mYoY
경상남도,창원시 마산회원구 ,541.0,973.0,55.1,37.2,0.0,7.8,55.9,36.2,0.0,7.9,-3.3999999999999986,1.8000000000000043,0.0,1.7000000000000002
울산광역시,동구,534.0,1017.0,74.7,10.1,0.0,15.2,75.2,10.3,0.0,14.5,1.4000000000000057,1.1999999999999993,0.0,-2.6000000000000014
부산광역시,기장군,508.0,904.0,62.6,16.9,0.0,20.5,61.6,17.7,0.0,20.7,3.0,-4.600000000000001,0.0,1.6000000000000014
경상남도,사천시,505.0,768.0,43.2,12.5,0.0,44.4,52.1,15.5,0.0,32.4,-18.4,-14.2,0.0,32.8
전라남도,여수시,488.0,934.0,84.4,3.7,0.0,11.9,84.2,4.4,0.0,11.5,-0.29999999999999716,-0.39999999999999947,0.0,0.8000000000000007
경기도,안산시 상록구,484.0,832.0,56.2,33.9,0.0,9.9,57.7,32.0,0.0,10.3,-8.5,9.2,0.0,-0.7999999999999989
부산광역시,사상구,483.0,914.0,56.1,31.7,0.0,12.2,59.3,29.0,0.0,11.7,-6.5,6.5,0.0,0.0
서울특별시,관악구,460.0,1184.0,38.3,43.3,0.0,18.5,35.6,38.7,0.0,25.7,-4.300000000000004,13.199999999999996,0.0,-8.8
서울특별시,중랑구,457.0,1322.0,37.9,48.4,0.0,13.8,30.8,57.3,0.0,11.9,-12.700000000000003,13.899999999999999,0.0,-1.0999999999999996
경상북도,포항시 남구,453.0,953.0,67.3,18.1,0.0,14.6,68.5,19.6,0.0,11.9,0.7000000000000028,2.400000000000002,0.0,-3.0000000000000018
대전광역시,대덕구,447.0,801.0,59.1,26.4,0.0,14.5,60.8,24.1,0.0,15.1,-7.800000000000004,7.299999999999997,0.0,0.5
경기도,수원시 팔달구,446.0,994.0,24.9,59.0,0.0,16.1,28.4,55.3,0.0,16.3,-9.800000000000004,7.100000000000001,0.0,2.700000000000001
경기도,수원시 장안구,441.0,1067.0,40.4,46.9,0.0,12.7,47.0,39.6,0.0,13.5,-9.100000000000001,10.899999999999999,0.0,-1.8000000000000007
인천광역시,중구,440.0,788.0,52.0,23.4,0.0,24.5,51.3,23.5,0.0,25.3,4.200000000000003,-1.9000000000000021,0.0,-2.3999999999999986
서울특별시,동작구,439.0,1532.0,27.3,51.3,0.0,21.4,27.6,45.8,0.0,26.6,-4.300000000000001,14.199999999999996,0.0,-9.900000000000002
서울특별시,마포구,430.0,1575.0,40.5,39.1,0.0,20.5,32.3,43.3,0.0,24.4,9.0,0.0,0.0,-8.899999999999999
경상북도,안동시,423.0,730.0,78.5,10.6,0.0,10.9,76.8,11.8,0.0,11.4,-1.0,-0.3000000000000007,0.0,1.200000000000001
경상북도,김천시,420.0,840.0,82.4,8.3,0.0,9.3,80.7,8.1,0.0,11.2,1.9000000000000057,0.7000000000000011,0.0,-2.5999999999999996
경기도,성남시 수정구,397.0,1082.0,35.8,28.7,0.0,35.5,30.4,32.3,0.0,37.2,1.8999999999999986,-4.099999999999998,0.0,2.200000000000003
서울특별시,도봉구,394.0,931.0,49.2,36.8,0.0,14.0,48.4,34.2,0.0,17.4,1.0,4.799999999999997,0.0,-5.899999999999999
전라남도,나주시,392.0,854.0,61.5,11.5,0.0,27.0,70.3,8.4,0.0,21.3,-10.099999999999994,3.1999999999999993,0.0,6.899999999999999
대구광역시,서구,383.0,684.0,47.5,42.0,0.0,10.4,44.3,43.9,0.0,11.8,13.899999999999999,20.0,0.0,-34.0
충청북도,진천군,380.0,658.0,74.7,9.5,0.0,15.8,72.8,11.1,0.0,16.1,20.900000000000006,-10.5,0.0,-10.5
전라북도,완주군,369.0,755.0,42.8,40.4,0.0,16.8,47.8,39.2,0.0,13.0,-9.0,5.899999999999999,0.0,3.200000000000001
경기도,이천시,363.0,725.0,65.6,23.4,0.0,11.0,66.3,19.9,0.0,13.8,-6.300000000000011,8.499999999999998,0.0,-2.1999999999999993
광주광역시,동구,343.0,677.0,39.7,40.5,0.0,19.8,40.6,40.9,0.0,18.5,-1.0999999999999943,0.8999999999999986,0.0,0.1999999999999993
경기도,의왕시,330.0,883.0,33.0,46.7,0.0,20.3,32.7,47.5,0.0,19.8,-9.700000000000003,8.800000000000004,0.0,0.9000000000000021
서울특별시,용산구,327.0,736.0,30.6,49.2,0.0,20.2,27.4,55.2,0.0,17.4,-6.399999999999999,5.400000000000006,0.0,1.0
충청남도,홍성군,326.0,540.0,61.0,23.3,0.0,15.6,56.9,24.1,0.0,19.1,-6.200000000000003,5.5,0.0,0.6999999999999993
경기도,성남시 중원구,323.0,891.0,26.9,48.3,0.0,24.8,27.5,45.3,0.0,27.2,-10.100000000000001,13.099999999999994,0.0,-3.0
전라남도,무안군,321.0,584.0,52.6,36.8,0.0,10.6,50.7,39.2,0.0,10.1,9.800000000000004,-9.600000000000001,0.0,-0.20000000000000107
강원도,동해시,299.0,576.0,70.2,11.0,0.0,18.7,67.4,13.4,0.0,19.3,-4.200000000000003,-2.4000000000000004,0.0,6.5
강원도,속초시,297.0,579.0,63.0,16.2,0.0,20.9,61.5,13.1,0.0,25.4,-1.0,2.1999999999999993,0.0,-1.1000000000000014
충청남도,공주시,290.0,606.0,74.8,7.9,0.0,17.2,79.9,6.1,0.0,14.0,9.099999999999994,-2.299999999999999,0.0,-6.900000000000002
충청남도,논산시,283.0,471.0,45.2,5.3,0.0,49.5,57.3,6.2,0.0,36.5,-36.89999999999999,2.5,0.0,34.4
경상북도,영주시,281.0,479.0,82.6,6.4,0.0,11.0,82.9,6.9,0.0,10.2,-6.300000000000011,-0.2999999999999998,0.0,6.6
전라북도,정읍시,280.0,476.0,82.9,7.9,0.0,9.3,81.7,8.4,0.0,9.9,4.400000000000006,-2.799999999999999,0.0,-1.3999999999999986
경상남도,통영시,270.0,488.0,77.8,9.6,0.0,12.6,78.7,10.0,0.0,11.3,3.200000000000003,-1.700000000000001,0.0,-1.5
서울특별시,강북구,269.0,586.0,34.6,49.1,0.0,16.4,34.5,49.0,0.0,16.6,-7.600000000000001,12.100000000000001,0.0,-4.400000000000002
충청북도,음성군,269.0,511.0,63.9,11.9,0.0,24.2,61.1,13.9,0.0,25.0,9.0,-5.4,0.0,-3.6000000000000014
경상북도,칠곡군,263.0,535.0,62.4,19.4,0.0,18.3,60.9,21.7,0.0,17.4,-1.3999999999999986,1.5,0.0,0.0
대구광역시,남구,257.0,444.0,40.5,49.0,0.0,10.5,40.8,46.4,0.0,12.8,1.1000000000000014,10.200000000000003,0.0,-11.3
서울특별시,광진구,256.0,856.0,29.7,53.5,0.0,16.8,32.9,47.9,0.0,19.2,-9.500000000000004,14.700000000000003,0.0,-5.199999999999999
경상북도,영천시,237.0,442.0,66.7,11.4,0.0,21.9,69.5,9.5,0.0,21.0,-4.799999999999997,2.8000000000000007,0.0,2.0
경기도,동두천시,235.0,413.0,48.9,29.4,0.0,21.7,47.7,30.3,0.0,22.0,-5.800000000000004,2.3999999999999986,0.0,3.5
부산광역시,서구,222.0,418.0,55.4,33.8,0.0,10.8,51.2,38.0,0.0,10.8,9.0,-3.9000000000000057,0.0,-5.1
서울특별시,금천구,219.0,471.0,40.6,34.2,0.0,25.1,41.0,32.5,0.0,26.5,-13.199999999999996,8.000000000000004,0.0,5.100000000000001
충청남도,계룡시,215.0,359.0,53.5,15.3,0.0,31.2,55.7,12.5,0.0,31.8,6.899999999999999,6.200000000000001,0.0,-13.099999999999998
부산광역시,영도구,209.0,466.0,64.6,16.7,0.0,18.7,59.2,12.2,0.0,28.5,-6.6000000000000085,-1.3000000000000007,0.0,7.899999999999999
서울특별시,중구,203.0,551.0,18.7,56.2,0.0,25.1,21.1,55.0,0.0,24.0,-4.5,1.5,0.0,3.0
경기도,여주시,198.0,393.0,69.2,16.2,0.0,14.6,67.4,17.0,0.0,15.5,5.1000000000000085,-3.0,0.0,-2.200000000000001
경상남도,밀양시,196.0,373.0,75.0,8.7,0.0,16.3,77.2,8.8,0.0,13.9,-3.5,-2.3000000000000007,0.0,5.800000000000001
경기도,포천시,193.0,362.0,68.9,13.5,0.0,17.6,69.6,13.5,0.0,16.9,20.400000000000006,5.6,0.0,-25.9
제주특별자치도,서귀포시,183.0,489.0,85.2,4.4,0.0,10.4,67.3,3.5,0.0,29.2,5.6000000000000085,-1.3999999999999995,0.0,-4.199999999999999
충청남도,보령시,178.0,367.0,82.0,6.2,0.0,11.8,80.7,4.9,0.0,14.4,4.700000000000003,1.9000000000000004,0.0,-6.599999999999998
부산광역시,동구,177.0,390.0,50.8,41.8,0.0,7.3,45.1,45.1,0.0,9.7,-4.800000000000004,8.5,0.0,-3.8
강원도,삼척시,175.0,339.0,66.9,15.4,0.0,17.7,72.0,13.3,0.0,14.7,-6.0,1.4000000000000004,0.0,4.6
충청남도,예산군,173.0,316.0,56.6,22.0,0.0,21.4,60.1,18.7,0.0,21.2,-9.300000000000004,5.300000000000001,0.0,3.8999999999999986
인천광역시,동구,172.0,318.0,39.5,40.1,0.0,20.3,39.6,42.1,0.0,18.2,4.100000000000001,-6.799999999999997,0.0,2.6000000000000014
경기도,양평군,164.0,300.0,56.1,18.3,0.0,25.6,52.7,21.3,0.0,26.0,-9.300000000000004,-0.8999999999999986,0.0,10.200000000000001
경기도,부천시 오정구,163.0,364.0,54.0,12.3,0.0,33.7,59.6,11.3,0.0,29.1,2.200000000000003,-10.5,0.0,8.300000000000004
경상북도,예천군,147.0,272.0,51.7,36.7,0.0,11.6,50.4,37.5,0.0,12.1,-1.8999999999999986,2.700000000000003,0.0,-0.8000000000000007
경상남도,거창군,134.0,214.0,78.4,9.0,0.0,12.7,79.4,8.4,0.0,12.1,3.8000000000000114,0.0,0.0,-3.6999999999999993
