시도,시군구,total_recent_3m,total_recent_6m,소형비중_최근3m,국민평형비중_최근3m,중대형비중_최근3m,대형비중_최근3m,소형비중_최근6m,국민평형비중_최근6m,중대형비중_최근6m,대형비중_최근6m,소형비중_변화_3mYoY,국민평형비중_변화_3mYoY,중대형비중_변화_3mYoY,대형비중_변화_3mYoY
강원도,춘천시,926.0,1849.0,34.7,55.5,9.1,0.8,36.8,53.9,8.4,1.0,-3.5,3.8999999999999986,-0.5999999999999996,0.30000000000000004
부산광역시,북구,916.0,1687.0,43.0,47.3,7.8,2.0,42.1,47.7,8.3,1.9,-0.29999999999999716,1.7999999999999972,-1.5000000000000009,0.19999999999999996
전라북도,군산시,913.0,1746.0,43.9,46.3,8.7,1.1,45.3,45.0,8.7,1.0,2.1000000000000014,-3.6000000000000014,1.3999999999999995,0.10000000000000009
충청남도,천안시 동남구,893.0,1721.0,49.7,43.2,5.6,1.5,51.0,42.1,5.8,1.2,-2.3999999999999986,3.6000000000000014,-1.3000000000000007,0.10000000000000009
울산광역시,중구,889.0,1541.0,43.4,46.5,8.4,1.7,35.6,53.1,9.4,1.8,15.599999999999998,-12.600000000000001,-1.5999999999999996,-1.4000000000000001
대구광역시,달성군,880.0,1652.0,36.8,55.2,8.0,0.0,33.5,58.3,8.1,0.1,5.399999999999999,-4.599999999999994,-0.6999999999999993,-0.2
경기도,하남시,871.0,3003.0,25.0,53.2,21.7,0.1,25.2,55.6,19.1,0.1,-9.799999999999997,3.5,6.199999999999999,0.1
경기도,안양시 만안구,861.0,1469.0,50.4,44.0,4.4,1.2,48.2,46.6,4.3,0.9,-3.200000000000003,3.8999999999999986,0.5000000000000004,-1.2
광주광역시,서구,858.0,1635.0,40.8,48.6,9.3,1.3,42.1,47.0,8.9,2.0,0.29999999999999716,-0.29999999999999716,1.9000000000000004,-1.9000000000000001
경기도,성남시 분당구,853.0,2922.0,36.9,31.1,25.1,6.9,37.9,30.9,24.1,7.1,4.399999999999999,-4.699999999999996,2.0,-1.6999999999999993
경기도,광명시,847.0,2382.0,47.8,41.4,10.0,0.7,52.7,37.5,9.3,0.5,-10.900000000000006,9.799999999999997,1.3000000000000007,-0.30000000000000004
경상북도,포항시 북구,845.0,1646.0,24.1,62.7,10.8,2.4,25.5,62.5,9.7,2.3,-9.5,3.9000000000000057,5.300000000000001,0.2999999999999998
서울특별시,성북구,838.0,2224.0,40.0,44.6,14.4,1.0,47.1,42.0,10.4,0.5,-11.299999999999997,5.899999999999999,4.800000000000001,0.6
서울특별시,강남구,835.0,1503.0,34.5,31.7,24.8,9.0,36.5,32.1,21.7,9.7,5.699999999999999,1.0999999999999979,-0.3000000000000007,-6.5
서울특별시,강서구,828.0,2264.0,44.0,45.4,9.8,0.8,49.9,39.0,9.9,1.1,-5.0,3.799999999999997,1.200000000000001,0.0
제주특별자치도,제주시,824.0,1390.0,30.6,64.8,3.8,0.8,31.4,63.4,4.1,1.1,0.5,2.299999999999997,-2.6000000000000005,-0.30000000000000004
경기도,광주시,818.0,1457.0,17.6,71.9,8.8,1.7,17.6,72.0,9.0,1.4,-1.3999999999999986,0.5,1.8000000000000007,-0.9000000000000001
부산광역시,사하구,812.0,1419.0,36.5,55.9,6.5,1.1,38.0,53.8,6.6,1.6,-8.0,9.100000000000001,-0.5999999999999996,-0.3999999999999999
인천광역시,미추홀구,809.0,1588.0,50.1,42.4,6.8,0.7,49.5,42.6,7.1,0.9,2.3999999999999986,1.5,-2.8,-1.2
경기도,고양시 일산서구,793.0,1395.0,34.0,41.2,21.3,3.4,33.3,43.9,19.4,3.4,-2.700000000000003,-0.6999999999999957,3.6000000000000014,-0.3999999999999999
전라남도,목포시,792.0,1992.0,35.0,57.1,7.3,0.6,25.8,68.3,5.3,0.6,-6.299999999999997,4.399999999999999,1.7000000000000002,0.3
충청남도,당진시,775.0,1232.0,45.8,47.4,6.1,0.8,42.0,51.1,5.9,0.9,7.699999999999996,-7.600000000000001,-0.3000000000000007,0.4
전라북도,익산시,772.0,1516.0,51.6,43.4,3.9,1.2,50.2,44.3,4.7,0.9,1.1000000000000014,-1.0,-0.30000000000000027,0.3999999999999999
경상북도,경산시,762.0,1483.0,38.3,53.0,8.1,0.5,38.4,52.9,8.3,0.4,-1.2000000000000028,-1.1000000000000014,2.0,0.2
충청북도,청주시 서원구,760.0,1444.0,47.5,43.2,7.4,2.0,47.4,43.7,7.0,1.9,-3.299999999999997,2.1000000000000014,-0.09999999999999964,1.4
경기도,오산시,735.0,1309.0,33.9,56.7,8.2,1.2,35.6,55.0,8.7,0.7,-2.5,0.9000000000000057,0.7999999999999989,0.8999999999999999
울산광역시,울주군,735.0,1577.0,39.6,53.1,6.3,1.1,43.4,49.7,5.8,1.0,-1.5,-0.6000000000000014,1.5,0.7000000000000001
인천광역시,계양구,728.0,1338.0,64.1,31.0,4.5,0.3,62.6,32.5,4.6,0.3,3.799999999999997,-2.299999999999997,-0.7999999999999998,-0.8
경기도,부천시 소사구,727.0,1238.0,38.2,54.6,6.5,0.7,37.2,56.1,6.2,0.6,-0.7999999999999972,3.700000000000003,-2.9000000000000004,0.0
경기도,안산시 단원구,718.0,1312.0,51.0,41.5,6.4,1.1,49.4,41.2,8.5,1.0,3.6000000000000014,-3.299999999999997,-0.5,0.10000000000000009
충청북도,청주시 상당구,718.0,1405.0,34.0,56.1,8.4,1.5,34.2,57.7,6.9,1.1,-0.8999999999999986,-2.299999999999997,2.1000000000000005,1.1
서울특별시,구로구,711.0,1624.0,46.3,46.0,6.2,1.5,46.6,44.8,7.1,1.6,-4.300000000000004,5.100000000000001,-1.9999999999999991,1.3
충청북도,충주시,707.0,1387.0,58.3,34.9,6.2,0.6,56.5,36.6,6.1,0.7,-2.8000000000000043,-0.10000000000000142,3.0,-0.09999999999999998
부산광역시,금정구,705.0,1177.0,32.8,52.6,11.2,3.4,32.6,52.4,11.7,3.2,-11.300000000000004,10.0,1.5,-0.20000000000000018
서울특별시,동대문구,703.0,1958.0,45.2,39.3,14.1,1.4,42.5,43.2,13.3,1.1,-14.099999999999994,7.099999999999994,6.3999999999999995,0.5999999999999999
충청북도,청주시 청원구,693.0,1734.0,49.1,42.7,8.1,0.1,38.9,55.5,5.2,0.3,-5.100000000000001,2.700000000000003,3.0,-0.6
서울특별시,강동구,686.0,2380.0,34.5,52.8,11.4,1.3,36.9,51.1,10.9,1.1,-17.299999999999997,16.0,1.4000000000000004,-0.19999999999999996
