시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,4.7,37.3,44.5,13.3,81.7,4.7,38.2,44.0,12.9,82.2,0.40000000000000036,3.799999999999997,-4.0,0.0,-0.20000000000000284
경기도,용인시,4472.0,8695.0,3.4,32.9,43.6,19.8,76.5,3.3,33.9,43.8,18.8,77.7,0.10000000000000009,-0.8999999999999986,-2.6000000000000014,3.5,-3.4000000000000057
경상남도,창원시,3699.0,6654.0,3.3,25.2,49.3,21.6,74.4,3.5,25.9,49.1,21.0,75.0,-1.0,-0.10000000000000142,-1.2000000000000028,2.400000000000002,-1.3999999999999915
경기도,수원시,3573.0,8006.0,5.0,40.2,39.0,15.6,79.1,4.7,38.0,41.6,15.6,79.6,0.7000000000000002,2.6000000000000014,-4.899999999999999,2.299999999999999,-2.4000000000000057
충청북도,청주시,3411.0,6990.0,4.9,26.9,46.1,20.7,73.0,4.7,26.3,46.6,21.4,72.9,-0.39999999999999947,2.099999999999998,3.0,-1.0,5.099999999999994
전라북도,전주시,3103.0,6139.0,3.3,24.4,46.9,20.5,71.3,3.5,24.9,48.8,20.1,73.7,-1.0,-0.10000000000000142,1.0,1.1000000000000014,0.8999999999999915
경기도,고양시,2655.0,4751.0,2.5,24.4,48.5,24.3,73.0,2.8,24.3,46.9,25.6,71.2,-0.10000000000000009,1.0999999999999979,3.6000000000000014,2.0,4.700000000000003
충청남도,천안시,2583.0,5021.0,5.5,23.7,45.8,24.2,69.5,5.2,23.3,47.4,23.2,70.7,-0.40000000000000036,-1.3000000000000007,-1.4000000000000057,4.300000000000001,-2.700000000000003
경기도,남양주시,2455.0,4242.0,1.6,22.7,50.2,24.8,72.9,2.0,21.4,48.9,27.1,70.3,-1.9,-2.1999999999999993,1.5,2.400000000000002,-0.6999999999999886
경기도,용인시 기흥구,2327.0,3797.0,3.5,30.0,44.7,21.6,74.7,3.2,30.1,44.6,21.7,74.8,0.7000000000000002,0.8000000000000007,-3.0999999999999943,2.200000000000003,-2.299999999999997
경기도,부천시,2089.0,3630.0,3.3,29.9,46.2,18.3,76.1,3.5,28.9,44.4,19.5,73.3,-2.3,-4.300000000000004,3.5,1.4000000000000021,-0.8000000000000114
경상남도,진주시,2007.0,3141.0,3.7,30.4,47.8,17.8,78.2,3.7,30.1,48.5,17.3,78.7,-0.5999999999999996,2.799999999999997,4.199999999999996,-5.899999999999999,7.0
세종특별자치시,세종특별자치시,1998.0,3541.0,3.6,30.1,46.4,18.5,76.5,3.4,31.5,45.9,17.8,77.4,-0.2999999999999998,0.7000000000000028,-3.0,5.6,-2.299999999999997
인천광역시,서구,1957.0,3573.0,2.8,32.8,42.9,21.2,75.6,3.4,32.8,42.3,20.9,75.2,-0.5,3.599999999999998,2.5,5.899999999999999,5.8999999999999915
대구광역시,달서구,1881.0,3382.0,3.2,23.6,41.9,17.9,65.4,2.9,24.9,45.7,18.9,70.6,-1.0999999999999996,-5.599999999999998,-4.700000000000003,-1.7000000000000028,-10.5
경상남도,김해시,1870.0,3681.0,3.9,26.0,48.9,19.8,74.9,3.9,25.0,50.4,19.5,75.4,-0.6999999999999997,-1.0,-1.8000000000000043,4.200000000000001,-2.799999999999997
경기도,시흥시,1863.0,3981.0,3.8,26.1,49.3,20.5,75.4,3.5,24.8,50.4,21.0,75.3,-1.2999999999999998,-3.299999999999997,5.5,-1.0,2.1000000000000085
대전광역시,서구,1861.0,3247.0,4.1,29.8,45.4,20.4,75.2,4.5,29.8,45.8,19.5,75.6,-1.2000000000000002,1.4000000000000021,2.0,1.6999999999999993,3.5
경기도,평택시,1858.0,3328.0,5.6,26.5,46.7,20.5,73.1,5.5,26.3,46.2,21.1,72.5,-1.2000000000000002,-0.1999999999999993,0.4000000000000057,1.1999999999999993,0.09999999999999432
경기도,안양시,1832.0,4244.0,3.9,42.1,40.9,12.9,83.0,4.2,40.0,39.8,13.9,79.8,-0.19999999999999973,4.899999999999999,-2.6000000000000014,-0.9000000000000004,2.299999999999997
대전광역시,유성구,1730.0,2855.0,2.3,30.4,48.6,18.0,79.0,2.8,31.3,47.9,17.4,79.3,-1.7999999999999998,-1.1000000000000014,2.3999999999999986,0.6000000000000014,1.2999999999999972
충청남도,천안시 서북구,1690.0,3300.0,5.4,24.8,46.2,23.0,70.9,5.2,24.5,48.5,20.8,73.0,-0.6999999999999993,-3.099999999999998,-0.6999999999999957,6.399999999999999,-3.8999999999999915
전라북도,전주시 덕진구,1652.0,3397.0,3.3,24.6,45.8,17.7,70.5,3.1,25.9,49.2,17.3,75.2,-1.2999999999999998,-2.799999999999997,-2.5,-1.0,-5.200000000000003
인천광역시,연수구,1651.0,2765.0,3.7,32.8,44.6,18.7,77.3,3.6,32.8,44.9,18.4,77.7,-0.2999999999999998,-2.5,-1.1000000000000014,4.1,-3.700000000000003
대구광역시,수성구,1637.0,2905.0,2.1,26.1,56.2,15.3,82.3,2.3,26.8,54.6,16.1,81.4,-0.7999999999999998,-3.8999999999999986,3.9000000000000057,0.7000000000000011,0.0
경상북도,구미시,1607.0,2991.0,5.4,28.2,48.8,16.6,77.0,5.0,29.0,48.0,17.1,77.0,1.2000000000000002,1.3999999999999986,-1.5,-0.09999999999999787,-0.09999999999999432
경기도,성남시,1573.0,4895.0,3.6,36.6,43.4,16.3,80.0,3.3,36.8,44.7,15.0,81.5,1.2000000000000002,1.5,-4.200000000000003,1.700000000000001,-2.700000000000003
강원도,원주시,1564.0,2949.0,4.6,22.3,47.0,25.2,69.3,4.5,24.2,45.3,25.4,69.5,0.0,-2.1999999999999993,6.600000000000001,5.5,4.3999999999999915
부산광역시,부산진구,1513.0,2601.0,4.4,30.8,41.1,21.7,71.9,3.8,30.5,42.0,22.3,72.5,2.1000000000000005,3.6999999999999993,0.6000000000000014,1.0,4.400000000000006
울산광역시,남구,1508.0,2878.0,6.2,34.5,43.9,14.9,78.4,6.2,35.2,43.3,14.9,78.6,-0.5999999999999996,-1.2999999999999972,0.29999999999999716,2.3000000000000007,-1.0
경기도,수원시 권선구,1481.0,2931.0,4.9,34.0,40.9,19.9,74.9,3.5,30.7,46.4,19.2,77.1,0.20000000000000018,2.6000000000000014,-7.200000000000003,5.599999999999998,-4.599999999999994
경기도,용인시 수지구,1475.0,3666.0,2.6,42.1,42.6,12.6,84.7,3.0,41.2,43.2,12.6,84.4,-0.10000000000000009,2.0,-2.8999999999999986,1.1999999999999993,-1.0
부산광역시,해운대구,1475.0,2823.0,3.9,28.6,48.9,18.4,77.5,3.6,29.5,48.1,18.3,77.6,1.2999999999999998,1.2000000000000028,-2.200000000000003,0.5,-1.0
경상남도,창원시 성산구,1462.0,2624.0,3.7,29.3,48.8,17.4,78.2,3.9,29.8,49.7,16.0,79.5,-1.0999999999999996,-0.1999999999999993,-0.8000000000000043,1.9999999999999982,-0.8999999999999915
전라북도,전주시 완산구,1451.0,2742.0,3.2,24.1,48.2,23.6,72.3,3.8,23.6,48.2,23.5,71.9,-0.6999999999999997,2.400000000000002,4.600000000000001,3.5,6.8999999999999915
충청남도,아산시,1438.0,2807.0,4.8,23.4,48.5,22.2,71.9,4.6,23.2,48.8,22.0,72.0,0.09999999999999964,2.0,-0.7999999999999972,-1.0,1.2000000000000028
광주광역시,북구,1398.0,2531.0,4.9,27.8,45.5,20.5,73.3,5.1,26.6,45.9,21.3,72.4,1.0000000000000004,2.5,-4.399999999999999,1.5,-1.9000000000000057
경상남도,양산시,1393.0,2598.0,3.5,22.5,50.8,21.6,73.4,3.6,23.7,50.4,21.0,74.2,-0.20000000000000018,-3.5,4.5,-1.3999999999999986,1.0
대구광역시,북구,1374.0,2595.0,4.1,27.3,47.8,20.2,75.1,4.2,25.9,47.2,20.4,73.1,0.5999999999999996,1.6999999999999993,-1.1000000000000014,-1.4000000000000021,0.5999999999999943
경기도,의정부시,1364.0,2919.0,2.8,22.4,48.8,25.7,71.3,3.0,21.2,48.7,25.5,69.9,-0.30000000000000027,-1.4000000000000021,-0.6000000000000014,2.1999999999999993,-1.9000000000000057
인천광역시,부평구,1362.0,2526.0,4.4,31.4,38.7,23.3,70.0,4.5,30.1,39.1,21.9,69.2,0.0,2.799999999999997,-4.699999999999996,4.900000000000002,-2.0
서울특별시,송파구,1341.0,2331.0,1.4,31.5,52.9,14.2,84.3,1.5,31.7,51.3,15.4,82.9,-0.10000000000000009,1.8000000000000007,-1.3999999999999986,0.3999999999999986,0.29999999999999716
광주광역시,광산구,1311.0,2392.0,3.8,26.9,49.7,18.0,76.6,4.1,28.1,49.0,17.5,77.0,-2.2,-1.6000000000000014,1.7000000000000028,2.1999999999999993,0.09999999999999432
경상북도,포항시,1298.0,2599.0,4.7,25.5,43.8,25.3,69.3,3.7,23.5,43.8,26.3,67.3,-0.2999999999999998,3.1000000000000014,-3.1000000000000014,2.3000000000000007,0.0
서울특별시,성동구,1267.0,2440.0,0.7,12.3,14.0,2.7,26.4,1.4,26.6,29.3,6.0,55.9,-2.0,-32.3,-27.5,-8.3,-59.800000000000004
경기도,구리시,1258.0,1965.0,4.5,40.3,40.6,14.5,80.9,4.1,39.4,39.3,17.2,78.7,2.3,19.199999999999996,-5.699999999999996,-15.899999999999999,13.5
경기도,고양시 덕양구,1243.0,2216.0,2.4,29.5,44.0,23.7,73.5,2.7,28.7,44.2,24.2,72.9,0.10000000000000009,6.699999999999999,2.6000000000000014,4.300000000000001,9.400000000000006
충청북도,청주시 흥덕구,1240.0,2407.0,5.8,31.8,44.4,15.8,76.1,6.4,32.9,42.3,16.9,75.2,0.0,2.6999999999999993,5.5,-3.5,8.099999999999994
경기도,김포시,1236.0,2277.0,2.7,25.4,49.4,21.9,74.8,3.2,26.1,47.1,23.0,73.2,1.2000000000000002,-4.200000000000003,-1.2000000000000028,4.299999999999997,-5.400000000000006
서울특별시,노원구,1209.0,2797.0,4.1,37.6,42.2,12.8,79.8,4.6,36.5,42.9,14.5,79.4,-0.3000000000000007,3.700000000000003,-0.7999999999999972,-1.6999999999999993,2.8999999999999915
경기도,수원시 영통구,1205.0,3014.0,5.0,46.5,38.4,10.0,84.9,5.6,44.0,39.2,11.1,83.2,1.0,1.7000000000000028,-2.8000000000000043,0.09999999999999964,-1.0
경기도,안산시,1202.0,2144.0,4.6,32.3,41.1,19.9,73.4,4.2,32.2,42.9,19.4,75.0,-1.1000000000000005,2.599999999999998,-3.8999999999999986,0.8999999999999986,-1.2999999999999972
경기도,부천시 원미구,1199.0,2028.0,3.9,33.7,46.6,15.6,80.3,4.5,32.2,44.7,16.3,77.0,-1.3000000000000003,-4.0,4.300000000000004,0.7999999999999989,0.29999999999999716
부산광역시,동래구,1199.0,2219.0,2.8,28.7,50.4,17.5,79.1,2.8,28.5,51.1,16.7,79.6,-0.30000000000000027,-1.9000000000000021,1.8999999999999986,0.10000000000000142,0.0
경기도,군포시,1190.0,1892.0,4.4,29.9,46.0,19.7,75.9,4.7,30.1,44.7,20.5,74.8,0.9000000000000004,-3.8000000000000043,5.100000000000001,-1.6999999999999993,1.3000000000000114
전라남도,순천시,1169.0,2202.0,5.2,24.0,48.6,20.4,72.5,4.8,26.4,47.0,19.2,73.4,0.7999999999999998,1.8999999999999986,-3.299999999999997,-0.5,-1.5
경기도,파주시,1150.0,2124.0,3.7,24.5,48.2,23.1,72.7,3.3,25.0,47.5,23.6,72.5,0.5,2.6000000000000014,-4.899999999999999,1.7000000000000028,-2.299999999999997
대구광역시,동구,1089.0,2016.0,4.2,31.8,39.1,24.3,70.9,3.6,31.1,41.2,23.9,72.3,1.4000000000000004,5.5,-4.899999999999999,4.300000000000001,0.6000000000000085
인천광역시,남동구,1082.0,2017.0,3.8,23.0,47.5,25.0,70.5,3.6,24.0,46.2,24.5,70.3,1.5,-1.8000000000000007,-5.600000000000001,5.5,-7.299999999999997
부산광역시,남구,1018.0,1795.0,4.2,31.5,44.5,19.1,76.0,3.6,30.8,46.0,19.2,76.8,1.7000000000000002,1.1000000000000014,-0.29999999999999716,-1.7999999999999972,0.7999999999999972
부산광역시,연제구,1002.0,1875.0,2.2,36.4,43.5,17.4,79.9,2.5,36.0,43.7,17.5,79.7,0.0,1.8999999999999986,0.6000000000000014,-0.10000000000000142,2.5
경기도,안양시 동안구,971.0,2775.0,3.7,46.0,40.0,10.0,86.0,4.4,40.7,40.0,11.7,80.8,-0.09999999999999964,6.700000000000003,-5.299999999999997,-1.3000000000000007,1.4000000000000057
경기도,양주시,968.0,1754.0,3.6,17.5,51.9,26.5,69.3,3.5,18.6,49.3,28.1,67.9,-0.6999999999999997,-5.199999999999999,8.199999999999996,-2.1999999999999993,2.8999999999999915
울산광역시,북구,966.0,1966.0,4.5,33.1,46.6,14.9,79.7,4.6,31.3,48.8,14.4,80.1,-1.0999999999999996,-3.299999999999997,3.1000000000000014,0.8000000000000007,-0.09999999999999432
전라남도,광양시,937.0,1435.0,3.3,13.1,30.4,14.2,43.5,4.9,16.8,35.0,17.4,51.8,-1.7999999999999998,-4.299999999999999,-21.6,-9.2,-25.799999999999997
강원도,춘천시,926.0,1849.0,4.8,27.3,43.4,23.9,70.7,4.2,26.6,43.2,24.8,69.7,-0.40000000000000036,1.1999999999999993,-1.3000000000000043,5.299999999999997,-0.20000000000000284
부산광역시,북구,916.0,1687.0,3.6,24.2,46.6,25.3,70.9,3.2,25.6,44.7,26.2,70.3,0.5,-5.100000000000001,6.0,-1.8000000000000007,1.1000000000000085
전라북도,군산시,913.0,1746.0,2.0,20.2,52.0,24.1,72.2,2.7,19.0,51.3,25.7,70.2,-1.2999999999999998,-1.0,1.3999999999999986,1.1000000000000014,0.4000000000000057
충청남도,천안시 동남구,893.0,1721.0,5.8,21.5,45.1,26.5,66.6,5.2,20.9,45.4,27.7,66.3,0.2999999999999998,1.6000000000000014,-2.6000000000000014,0.6999999999999993,-1.0
울산광역시,중구,889.0,1541.0,3.5,28.5,34.0,17.9,62.4,4.2,29.7,37.8,18.7,67.4,-0.7999999999999998,1.3000000000000007,-9.899999999999999,-6.400000000000002,-8.699999999999996
대구광역시,달성군,880.0,1652.0,4.2,26.8,47.3,21.1,74.1,4.1,27.2,48.1,20.3,75.2,0.20000000000000018,-1.6999999999999993,-2.5,4.200000000000003,-4.300000000000011
경기도,하남시,871.0,3003.0,1.0,28.2,45.2,25.5,73.5,1.0,23.4,50.0,25.4,73.5,0.19999999999999996,10.8,-4.199999999999996,-6.799999999999997,6.700000000000003
경기도,안양시 만안구,861.0,1469.0,4.1,37.6,41.9,16.3,79.6,3.9,38.5,39.3,18.0,77.9,-0.7000000000000002,5.399999999999999,2.6999999999999957,-3.599999999999998,8.199999999999989
광주광역시,서구,858.0,1635.0,2.2,28.4,45.9,21.6,74.4,3.5,26.1,47.3,21.5,73.4,-4.3,-1.3000000000000007,5.100000000000001,-0.29999999999999716,3.9000000000000057
경기도,성남시 분당구,853.0,2922.0,3.0,35.3,49.2,12.3,84.5,3.1,35.7,49.1,12.0,84.7,0.20000000000000018,0.3999999999999986,-1.5999999999999943,0.9000000000000004,-1.2000000000000028
경기도,광명시,847.0,2382.0,3.8,44.6,40.6,11.0,85.2,4.9,43.6,39.7,11.8,83.2,0.19999999999999973,-0.6000000000000014,1.2000000000000028,-0.8000000000000007,0.7000000000000028
경상북도,포항시 북구,845.0,1646.0,5.0,27.7,42.4,24.5,70.1,3.8,25.4,43.2,27.0,68.6,-1.2999999999999998,6.0,-5.0,0.6000000000000014,1.0
서울특별시,성북구,838.0,2224.0,2.3,40.9,44.5,12.2,85.4,2.4,40.4,41.6,11.6,82.0,-1.7999999999999998,2.1999999999999957,0.29999999999999716,-0.6000000000000014,2.5
서울특별시,강남구,835.0,1503.0,1.9,22.3,61.4,13.9,83.7,2.3,22.7,58.8,15.8,81.5,-0.30000000000000027,0.6000000000000014,0.10000000000000142,-0.5,0.7000000000000028
서울특별시,강서구,828.0,2264.0,2.9,45.0,39.4,12.4,84.4,3.4,45.2,39.8,11.4,85.0,-1.3000000000000003,4.0,-1.6000000000000014,-1.5,2.5
제주특별자치도,제주시,824.0,1390.0,1.8,20.9,54.1,16.4,75.0,2.2,23.4,53.7,16.1,77.1,-2.4000000000000004,-15.300000000000004,12.200000000000003,0.29999999999999716,-3.200000000000003
경기도,광주시,818.0,1457.0,4.0,26.8,44.1,24.9,70.9,4.3,24.6,44.1,26.8,68.7,-0.40000000000000036,3.400000000000002,-3.6000000000000014,0.3999999999999986,-0.19999999999998863
부산광역시,사하구,812.0,1419.0,1.7,16.0,47.4,33.7,63.4,2.5,17.5,48.1,30.7,65.6,-3.0,-4.100000000000001,-1.8000000000000043,10.600000000000001,-6.000000000000007
인천광역시,미추홀구,809.0,1588.0,4.0,27.2,41.0,26.8,68.2,4.2,25.7,42.7,26.6,68.4,-0.5,3.8999999999999986,-7.299999999999997,4.199999999999999,-3.5
경기도,고양시 일산서구,793.0,1395.0,2.9,20.9,52.1,23.7,73.0,3.4,20.2,49.3,26.6,69.5,0.10000000000000009,-4.700000000000003,5.5,-0.9000000000000021,0.7999999999999972
전라남도,목포시,792.0,1992.0,3.3,18.1,52.5,23.9,70.6,2.9,13.8,58.0,23.7,71.7,-0.6000000000000001,0.10000000000000142,-0.10000000000000142,0.7999999999999972,0.0
충청남도,당진시,775.0,1232.0,3.2,20.0,37.9,17.8,57.9,3.3,21.8,40.0,20.8,61.9,-3.0,-3.3000000000000007,-8.899999999999999,-4.599999999999998,-12.199999999999996
전라북도,익산시,772.0,1516.0,4.3,17.2,50.5,27.1,67.7,4.1,16.8,51.5,26.8,68.3,-0.6000000000000005,-0.3000000000000007,2.700000000000003,-0.1999999999999993,2.4000000000000057
경상북도,경산시,762.0,1483.0,3.5,23.1,48.6,23.6,71.7,4.2,23.4,46.8,24.7,70.2,0.0,-2.3999999999999986,-1.6999999999999957,4.900000000000002,-4.099999999999994
충청북도,청주시 서원구,760.0,1444.0,4.2,22.8,46.7,25.4,69.5,4.2,22.9,46.5,25.6,69.3,-0.09999999999999964,4.900000000000002,-1.0,-2.0,3.799999999999997
경기도,오산시,735.0,1309.0,5.0,26.4,47.6,20.4,74.0,4.6,26.5,46.1,22.5,72.6,1.1,-2.700000000000003,-0.5,2.599999999999998,-3.200000000000003
울산광역시,울주군,735.0,1577.0,2.3,23.5,46.0,27.2,69.5,3.0,21.4,47.6,27.3,69.0,0.6999999999999997,-0.6999999999999993,-4.799999999999997,4.800000000000001,-5.5
인천광역시,계양구,728.0,1338.0,5.4,23.2,43.5,26.6,66.8,5.8,21.5,44.3,27.4,65.8,0.7000000000000002,0.5,0.7999999999999972,-0.5999999999999979,1.3999999999999915
경기도,부천시 소사구,727.0,1238.0,2.2,26.1,47.0,20.9,73.2,2.0,26.0,46.7,22.6,72.7,-2.7,-8.399999999999999,4.5,3.5,-3.799999999999997
경기도,안산시 단원구,718.0,1312.0,4.5,36.5,39.7,18.0,76.2,4.3,35.9,42.1,16.8,78.0,-1.0,3.8999999999999986,-4.799999999999997,1.3000000000000007,-0.8999999999999915
충청북도,청주시 상당구,718.0,1405.0,3.2,21.9,49.0,25.9,70.9,2.8,24.6,48.5,24.1,73.1,-0.8999999999999995,-1.5,8.600000000000001,2.5,7.1000000000000085
서울특별시,구로구,711.0,1624.0,1.4,46.0,38.3,14.2,84.2,2.5,43.2,39.2,15.0,82.4,-4.800000000000001,9.299999999999997,-5.800000000000004,1.5,3.4000000000000057
충청북도,충주시,707.0,1387.0,4.7,18.7,46.0,29.0,64.6,4.7,20.3,47.0,26.3,67.3,0.5,-2.1999999999999993,-0.29999999999999716,3.1999999999999993,-2.6000000000000085
부산광역시,금정구,705.0,1177.0,1.8,19.9,48.5,27.7,68.4,1.9,22.4,48.5,25.7,70.9,-0.5999999999999999,0.0,13.100000000000001,4.5,13.200000000000003
서울특별시,동대문구,703.0,1958.0,2.6,36.3,38.3,12.5,74.5,2.3,39.6,40.6,13.7,80.2,0.10000000000000009,7.099999999999998,-5.700000000000003,-2.4000000000000004,1.2999999999999972
충청북도,청주시 청원구,693.0,1734.0,5.6,27.8,45.6,18.9,73.4,4.3,21.4,51.0,21.9,72.4,-0.7000000000000002,2.400000000000002,-2.799999999999997,0.09999999999999787,-0.29999999999999716
서울특별시,강동구,686.0,2380.0,2.5,30.3,48.7,18.5,79.0,1.7,30.7,50.6,16.8,81.3,1.0,5.300000000000001,5.800000000000004,6.199999999999999,11.099999999999994
서울특별시,영등포구,676.0,1860.0,4.3,42.9,41.0,11.8,83.9,3.0,42.7,41.8,12.6,84.5,2.0999999999999996,-1.5,1.3999999999999986,-1.5999999999999996,-0.09999999999999432
부산광역시,수영구,674.0,1239.0,3.0,26.3,47.2,23.3,73.4,2.7,27.0,47.3,22.7,74.3,-1.2999999999999998,1.1999999999999993,-2.0999999999999943,2.5,-1.0
경기도,용인시 처인구,670.0,1232.0,5.2,23.0,42.1,29.7,65.1,4.6,23.6,43.1,28.2,66.7,-1.3999999999999995,-1.3000000000000007,-2.299999999999997,5.699999999999999,-3.700000000000003
광주광역시,남구,657.0,1224.0,2.3,27.9,49.8,19.0,77.6,2.6,25.5,48.9,22.1,74.3,-3.0,4.899999999999999,0.0,-2.5,4.799999999999997
서울특별시,양천구,640.0,1575.0,1.6,29.7,58.6,10.2,88.3,2.7,30.3,57.3,9.7,87.6,-0.5,0.8000000000000007,-0.5,0.5999999999999996,0.29999999999999716
대구광역시,중구,639.0,1110.0,5.6,48.5,33.8,11.4,82.3,6.2,47.2,34.1,11.9,81.3,-1.2000000000000002,-3.799999999999997,3.1999999999999957,1.4000000000000004,-0.6000000000000085
서울특별시,서대문구,639.0,1528.0,3.9,42.7,43.7,9.7,86.4,3.3,41.7,43.1,11.8,84.8,1.0,10.100000000000001,11.800000000000004,1.6999999999999993,21.900000000000006
경상남도,거제시,635.0,1247.0,2.7,22.0,52.6,20.0,74.6,3.5,19.6,53.6,20.0,73.3,-1.1999999999999997,5.199999999999999,0.8000000000000043,-6.300000000000001,6.0
서울특별시,은평구,627.0,1514.0,2.7,37.0,43.4,14.2,80.4,2.6,36.9,41.9,17.3,78.8,0.6000000000000001,12.899999999999999,2.1000000000000014,-5.800000000000001,15.0
