시도,시군구,total_recent_3m,total_recent_6m,20대이하비중_최근3m,30대비중_최근3m,40_50대비중_최근3m,60대이상비중_최근3m,30_50대비중_최근3m,20대이하비중_최근6m,30대비중_최근6m,40_50대비중_최근6m,60대이상비중_최근6m,30_50대비중_최근6m,20대이하비중_변화_3mYoY,30대비중_변화_3mYoY,40_50대비중_변화_3mYoY,60대이상비중_변화_3mYoY,30_50대비중_변화_3mYoY
경상북도,안동시,423.0,730.0,4.7,19.4,49.2,25.3,68.6,5.6,20.1,46.0,27.3,66.2,-0.39999999999999947,-5.400000000000002,4.200000000000003,2.0,-1.2000000000000028
경상북도,김천시,420.0,840.0,4.0,28.1,42.1,24.5,70.2,3.8,26.5,43.8,24.2,70.4,1.2999999999999998,3.5,-2.799999999999997,-0.8999999999999986,0.7000000000000028
경기도,성남시 수정구,397.0,1082.0,3.5,31.7,39.0,25.2,70.8,2.2,34.0,41.6,21.9,75.6,3.0,0.5,-6.200000000000003,3.1999999999999993,-5.5
서울특별시,도봉구,394.0,931.0,2.0,32.7,43.1,22.1,75.9,3.4,30.4,43.6,22.4,74.0,0.5,4.0000000000000036,-7.299999999999997,3.0,-3.0999999999999943
전라남도,나주시,392.0,854.0,4.6,24.2,45.7,24.5,69.9,4.1,21.4,47.7,23.1,69.1,0.7999999999999998,-3.900000000000002,3.700000000000003,4.100000000000001,-0.19999999999998863
대구광역시,서구,383.0,684.0,5.2,30.8,41.0,22.7,71.8,4.7,31.9,39.2,23.8,71.1,2.2,12.3,18.2,1.5999999999999979,30.4
충청북도,진천군,380.0,658.0,2.1,20.5,52.4,22.1,72.9,3.0,20.2,52.3,21.7,72.5,0.20000000000000018,3.0,-0.10000000000000142,-1.0,2.9000000000000057
전라북도,완주군,369.0,755.0,5.4,29.5,39.8,19.5,69.4,5.2,27.3,44.2,19.9,71.5,-0.39999999999999947,3.3000000000000007,-6.200000000000003,-0.8000000000000007,-2.6999999999999886
경기도,이천시,363.0,725.0,5.2,25.3,43.3,25.6,68.6,5.0,24.0,43.0,26.1,67.0,-1.2000000000000002,4.5,-2.9000000000000057,7.200000000000003,1.5999999999999943
광주광역시,동구,343.0,677.0,2.6,33.2,44.0,19.5,77.3,2.8,34.1,41.9,20.5,76.1,-1.6,2.6000000000000014,3.6000000000000014,-0.8999999999999986,6.3999999999999915
경기도,의왕시,330.0,883.0,1.8,38.2,36.4,23.6,74.5,2.6,34.9,40.3,22.1,75.2,-1.2,2.9000000000000057,-9.700000000000003,8.900000000000002,-7.0
서울특별시,용산구,327.0,736.0,0.6,36.4,48.6,14.4,85.0,1.5,29.1,42.9,12.1,72.0,-2.6,4.399999999999999,1.6000000000000014,-2.4999999999999982,6.0
충청남도,홍성군,326.0,540.0,3.4,16.6,52.8,26.1,69.3,3.3,15.6,51.1,28.7,66.7,0.0,2.8000000000000007,3.3999999999999986,-6.699999999999996,6.099999999999994
경기도,성남시 중원구,323.0,891.0,5.0,45.8,33.4,15.8,79.3,5.3,43.9,34.3,16.2,78.2,2.4,6.699999999999996,-5.700000000000003,-3.3000000000000007,1.0
